WKT,osm_id,access,amenity,name,operator,operational_status,watsan:availability,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.849375888879507 -1.263241636490734),4502203213,,drinking_water,Mama Franco(Githushi Shop),,operational,often,Ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849492580034919 -1.263092911630491),4502203212,,drinking_water,Mama Delvin,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,no,yes,,
POINT (36.850784716739597 -1.263290942013179),4502070790,,drinking_water,Mama Shiro,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.850803222034443 -1.263163681673742),4502070797,,drinking_water,Washiro,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.850818942551918 -1.263169698923517),4502070796,,drinking_water,Wanjeri Bismillahi Shop,,operational,often,ksh.2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.849543245016939 -1.262676014966005),4502070791,,drinking_water,Muungano Wa Wanavijiji(Kosovo),,operational,often,ksh. 2 per 2 Litres,public_community,water_tank,,yes,,
POINT (36.849572350432148 -1.262647724905567),1110245202,,drinking_water,,,,,,,,,,,
POINT (36.850818942551918 -1.26259788051262),4502070793,,drinking_water,Pamoja Trust,,,never,,public_community,water_tank,,yes,,
POINT (36.852211690568417 -1.262843330460019),4502070794,,drinking_water,River Jump Youth Group,,operational,often,ksh. 2 per 20 Litres,public_community,water_tank,,yes,,
POINT (36.851729564755431 -1.262666315516742),4502070792,,drinking_water,Nairobi Water Company,,operational,often,ksh. 2 per 20 Litres,public_community,water_tank,,yes,,
POINT (36.852759303565612 -1.263424848263386),4502070187,,drinking_water,Kwa Easther,,operational,often,ksh.2 per 20litre,public_community,water_tank,,yes,,
POINT (36.853730741713861 -1.263417214439775),4501970697,,drinking_water,Kwa Kisii,,operational,often,,public_community,water_tank,,yes,,
POINT (36.854524582930445 -1.263399252501797),4501970698,,drinking_water,Kwa Ndung'u,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
POINT (36.854609024567146 -1.263417663488233),4501970699,,drinking_water,Mama Shiro,,operational,often,ksh. 2 per 20 Litres,public_community,piped_tap,,yes,,
