wkt_geom,time,name,type,desc
Point (36.91029699999999991 -1.28002799999999994),2016-05-25,Revelation of the Christ Power Ministry,church,"provides security as well as peace,love and unity"
Point (36.90992800000000074 -1.27992900000000009),2016-05-25,Fire Pentecoastal Revival Church,church,"provides security as well as peace,love and unity.does guide and couselling"
Point (36.90900700000000256 -1.2807329999999999),2016-05-25,A.C.K Patanisho church,church,"promotes peace,love,unity and does guide and couselling as well as securirty"
Point (36.90825499999999693 -1.28066600000000008),2016-05-25,Restoration of God's Glory,church,offers guide and couselling.provisdes security as well
Point (36.90800300000000078 -1.27947600000000006),2016-05-25,Divine Glory Church,church,"promotes peace,love,unity and does guide and couselling as well as securirty"
Point (36.90751900000000063 -1.2792619999999999),2016-05-25,Jesus Revelation Church[JRC],church,"near stage.provides security as well as peace,love and unity"
Point (36.90812799999999783 -1.27860700000000005),2016-05-25,Life Restoration Centre,church,"promotes peace,love,unity and does guide and couselling as well as securirty"
Point (36.91150300000000328 -1.28110100000000005),2016-05-25,Annoiting and Deliverance Church,church,"promotes peace,love,unity and does guide and couselling as well as securirty"
Point (36.91239099999999951 -1.28067500000000001),2016-05-25,king's gospel centre,church,"enhances peace,unity and provides security as well"
Point (36.91233700000000084 -1.28102300000000002),2016-05-25,revelation miracle centre,church,"privides security as well as enhances peace,love and unity"
Point (36.91199600000000203 -1.28149899999999994),2016-05-25,vision mission calvary,church,"privides security as well as enhances peace,love and unity"
Point (36.91261599999999987 -1.28078000000000003),2016-05-25,christ alive church,church,"enhances peace,unity and provides security as well"
Point (36.91301299999999941 -1.28123000000000009),2016-05-25,AIC soweto[Inland African Church],church,"privides security as well as enhances peace,love and unity"
Point (36.91246799999999695 -1.28245600000000004),2016-05-25,world commission centre,church,"privides security as well as enhances peace,love and unity"
Point (36.91328800000000143 -1.28881899999999994),2016-05-25,Upendo Pentecoastal Fellowship,church,"enhances morals,security and faith matters"
Point (36.91373699999999758 -1.28910900000000006),2016-05-25,Glory Restoration Ministry,church,"enhances behavior change,security,faith matters as well as couselling"
Point (36.91444800000000015 -1.28931799999999996),2016-05-25,African Divine Chruch,church,"enhances morals,security and faith matters"
Point (36.91440999999999661 -1.28957699999999997),2016-05-25,Jesus Centre of Rest Church,church,"spiritual nourishment,security and behaviour change"
Point (36.91440800000000166 -1.28957600000000006),2016-05-25,African Church of The Holy Spirit,church,"enhances morals,security and faith matters"
Point (36.91437700000000177 -1.28971999999999998),2016-05-25,New Life Pentecoastal Church,church,"spiritual nourishment,security and behaviour change"
Point (36.91425199999999762 -1.28974300000000008),2016-05-25,Mowar Roho Isreal Soweto Church,church,"spiritual nourishment,security and behaviour change"
Point (36.91479300000000308 -1.28923399999999999),2016-05-25,Preachers Church of God,church,"promotes peace building,security and faith matters"
Point (36.91501399999999933 -1.28908500000000004),2016-05-25,Nairobi God's Favour Ministry,church,"spiritual nourishment,security and behaviour change"
Point (36.91503199999999651 -1.2889489999999999),2016-05-25,New Life Community Church Kenya,church,"promotes peace building,security and morals in the community"
Point (36.91485600000000034 -1.28839900000000007),2016-05-25,Nomiya Church -Kayole Restorate,church,"spiritual nourishment,security and behaviour change"
Point (36.91471800000000059 -1.28811399999999998),2016-05-25,Legio Maria,church,"spiritual nourishment,security and behaviour change"
Point (36.91401400000000166 -1.28836700000000004),2016-05-25,Jesus Divine Healing Ministry,church,"enhances morals,security and faith matters"
Point (36.91307799999999872 -1.28803200000000007),2016-05-25,Anglican church of Kenya,church,"provides peace,security and behaviour change within the community"
Point (36.91300100000000128 -1.28805799999999993),2016-05-25,Christ Resurrection Founded Ministry,church,"spiritual nourishment,security and behaviour change"
Point (36.91270699999999749 -1.28732899999999995),2016-05-25,United Pentecoastal Church[K],church,"spiritual nourishment,security and behaviour change"
Point (36.91290899999999908 -1.28739099999999995),2016-05-25,Musanda Hoy Ghost of E.Africa,church,"spiritual nourishment,security and behaviour change"
Point (36.91321700000000305 -1.287582),2016-05-25,Seventh Day Adventist Church,church,"promotes peace building,security and behavior change"
Point (36.9134689999999992 -1.28744700000000001),2016-05-25,Blessed Assemblies Ministry,church,"spiritual nourishment,security and behaviour change"
Point (36.91318199999999905 -1.28707700000000003),2016-05-25,Africa Roho Msalaba Church Soweto,church,"spiritual nourishment,security and behaviour change"
Point (36.91317300000000046 -1.28705899999999995),2016-05-25,God's Powerful Ministry,church,"enhances morals,security and faith matters"
Point (36.9127679999999998 -1.28706999999999994),2016-05-25,Salvation Army TumainiOutpost,church,"promotes peace building,security and couselling facilities"
Point (36.91284499999999724 -1.28693999999999997),2016-05-25,Redeemed of the Lord Fellowship,church,"promotes peace building,security and couselling facilities"
Point (36.91253499999999832 -1.28694400000000009),2016-05-25,Moyo Roho Israel,church,"enhances morals,security and faith matters"
Point (36.91255000000000308 -1.28674599999999995),2016-05-25,Faith of Apostles Church Soweto,church,"spiritual nourishment,security and behaviour change"
Point (36.9126059999999967 -1.28662900000000002),2016-05-25,Jesus power Celebration Church,church,"enhances morals,security and faith matters"
Point (36.91296200000000027 -1.28652900000000003),2016-05-25,A.I.C Bahati/AIC Bahati Academy,church,"promotes peace building,security and couselling facilities"
Point (36.91299200000000269 -1.28564900000000004),2016-05-25,Soweto Catholic Church,church,"promotes peace building,security and couselling facilities"
Point (36.91448700000000116 -1.28606599999999993),2016-05-25,African Brotherhood Church,church,"enhances morals,security and faith matters"
Point (36.91441400000000073 -1.28603800000000001),2016-05-25,G.T.C.M Maranathaland Church,church,"promotes peace,security and couselling"
Point (36.91580900000000298 -1.286435),2016-05-25,A.I.P.C Church,church,"promotes peace building,security and couselling facilities"
Point (36.91573300000000302 -1.28658699999999993),2016-05-25,Ambassadors Family Church,church,"spiritual nourishment,security and behaviour change"
Point (36.91580400000000139 -1.28643900000000011),2016-05-25,A.D Church,church,"spiritual nourishment,security and behaviour change"
Point (36.91550000000000153 -1.28633700000000006),2016-05-25,African Mission of Holy Spirit,church,"enhances morals,security and faith matters"
Point (36.91539300000000168 -1.28669100000000003),2016-05-25,St.Abraham Church,church,"enhances morals,security and faith matters"
Point (36.91530300000000153 -1.2868139999999999),2016-05-25,Musanda Hoy Ghost Church of E.Africa,church,"enhances morals,security and faith matters"
Point (36.91511400000000265 -1.28691899999999992),2016-05-25,New Jacarand PAG Assemly,church,"spiritual nourishment,security and behaviour change"
Point (36.91418999999999784 -1.28642199999999995),2016-05-25,Christian Worship Akorino Church,church,"spiritual nourishment,security and behaviour change"
Point (36.91083499999999873 -1.28212100000000007),2016-05-25,African Mission Church,church,"promotes peace,security and guide and couselling"
Point (36.91079400000000277 -1.28209700000000004),2016-05-25,Abundant Life,church,provides security and faith nourishment
Point (36.9104990000000015 -1.28218399999999999),2016-05-25,Zion Uniting Reform Church,church,provides security and faith nourishment
Point (36.91044300000000078 -1.28241699999999992),2016-05-25,Revelation Church of Christ,church,provides security and faith nourishment
Point (36.91039899999999818 -1.28234500000000007),2016-05-25,Living Gospel Church,church,"promotes peace,security and guide and couselling"
Point (36.90996299999999763 -1.28302500000000008),2016-05-25,Jesus Glory Worship Centre,church,"promotes peace,security and guide and couselling"
Point (36.90969499999999925 -1.28316300000000005),2016-05-25,second glory Centre Church,church,"promotes peace,security and guide and couselling"
Point (36.91016100000000222 -1.28158499999999997),2016-05-25,God With Us Church,church,provides security and faith nourishment
Point (36.90919000000000239 -1.2828520000000001),2016-05-25,Redeemed Evangelist Church,church,"promotes peace,security and guide and couselling"
Point (36.90968600000000066 -1.28144900000000006),2016-05-25,The Bethel Temple of God,church,provides security and faith nourishment
Point (36.90897100000000108 -1.28220899999999993),2016-05-25,Revelation Gospel Church,church,provides security and faith nourishment
Point (36.90891500000000036 -1.28244800000000003),2016-05-25,Covenant Healing Inter.Min.,church,"promotes peace,security and guide and couselling"
Point (36.90885399999999805 -1.28257299999999996),2016-05-25,Friends Church[Quakers]kayole,church,provides security and faith nourishment
Point (36.90968500000000319 -1.28078200000000009),2016-05-25,KAG Patanisho Church,church,provides security and faith nourishment
Point (36.90887800000000141 -1.28179200000000004),2016-05-25,Gospel Assembly,church,provides security and faith nourishment
Point (36.90824500000000086 -1.28067500000000001),2016-05-25,Restoration of God's Glory,church,"promotes peace,security and guide and couselling"
Point (36.90868199999999888 -1.28048699999999993),2016-05-25,Grace Tarbanacle,church,provides security and faith nourishment
Point (36.90891599999999784 -1.28062399999999998),2016-05-25,Holy Trinity[ACK],church,provides security and faith nourishment
Point (36.90912999999999755 -1.280802),2016-05-25,Remnant of Revelation,church,provides security and faith nourishment
Point (36.90799100000000266 -1.27948299999999993),2016-05-25,Divine Glory Church,church,provides security and faith nourishment
Point (36.907550999999998 -1.27925299999999997),2016-05-25,Jesus Re velation Church,church,"promotes peace,security and guide and couselling"
Point (36.91157700000000119 -1.28828600000000004),2016-05-25,Harvestland Ministries International,church,promotes peace and security as well as couselling
Point (36.91217499999999774 -1.28869199999999995),2016-05-25,Bread of Life Church Soweto,church,"provides security,faith nourishment as well as couselling"
Point (36.91374900000000281 -1.29045399999999999),2016-05-25,Way of Heaven Centre,church,"provides security,faith nourishment as well as couselling"
Point (36.91116499999999689 -1.28863400000000006),2016-05-25,Upendo Ministries,church,promotes peace and security as well as couselling
Point (36.91110299999999711 -1.2891220000000001),2016-05-25,Legio Church,church,"provides security,faith nourishment as well as couselling"
Point (36.91251900000000319 -1.29001900000000003),2016-05-25,Streams of Life Church,church,promotes peace and security as well as couselling
Point (36.91144700000000256 -1.2898369999999999),2016-05-25,Free Will Baptist Church,church,acts as a rehabilitation centre as well as promotes security
Point (36.91149699999999712 -1.28986500000000004),2016-05-25,Jesus the Bread of Life Ministies,church,settles desputes as well as faith nourishment
Point (36.91124299999999891 -1.28975400000000007),2016-05-25,Bible Christ Celebrating Ministries,church,promotes peace and security as well as couselling
Point (36.9105119999999971 -1.28927100000000006),2016-05-25,Kenya Assemblies of God,church,"provides security,faith nourishment as well as couselling"
Point (36.91029699999999991 -1.28911599999999993),2016-05-25,Rivers of God Ministries,church,promotes peace and security as well as couselling
Point (36.90983500000000106 -1.29122899999999996),2016-05-25,Bible Fellowship Ministries,church,promotes peace and security as well as couselling
Point (36.90910999999999831 -1.2911919999999999),2016-05-25,Palace of Royal Revival Ministries,church,promotes peace and security as well as couselling
Point (36.91367000000000331 -1.28473900000000008),2016-05-25,African Msalaba Roho,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91374799999999823 -1.28457299999999996),2016-05-25,Mowar Masimba church,church,provides security and guide and couselling
Point (36.91383499999999884 -1.28435900000000003),2016-05-25,United Brethren Church[U.B.C],church,"provides spiritual nourishment,security and couselling"
Point (36.91377200000000158 -1.28426700000000005),2016-05-25,Destiny Recovery Church,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91409999999999769 -1.28473900000000008),2016-05-25,Intern.Gospel/Deliverace church,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91447099999999892 -1.28516699999999995),2016-05-25,Jesus Miracle Annoiting Ministries,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91452300000000264 -1.28525500000000004),2016-05-25,Soweto Baptist Church,church,provides security and guide and couselling
Point (36.91517799999999738 -1.28554799999999991),2016-05-25,Pentecoastal Revival Church Intern.,church,"promotes faith nourishment,security and guide and counselling"
Point (36.9160710000000023 -1.28594900000000001),2016-05-25,Church of God,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91604099999999988 -1.28611900000000001),2016-05-25,U.N.U.S/U.C.R.C NGO,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91631499999999733 -1.28627899999999995),2016-05-25,Jehovah Ark of Apostles Ministries,church,"promotes faith nourishment,security and guide and counselling"
Point (36.9162680000000023 -1.28505500000000006),2016-05-25,Pentecoastal Assemblies of God,church,"provides spiritual nourishment,security and couselling"
Point (36.9156240000000011 -1.28483400000000003),2016-05-25,Jerusalem Christian Church,church,provides security and guide and couselling
Point (36.91544100000000128 -1.28511200000000003),2016-05-25,Church,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91498299999999944 -1.28500199999999998),2016-05-25,church,church,provides security and guide and couselling
Point (36.91471099999999694 -1.28468000000000004),2016-05-25,Waqe Masjid Nur Madrasa Nur,Mosque,"promotes faith nourishment,security and guide and counselling"
Point (36.91531499999999966 -1.284613),2016-05-25,P.C.E.A Embakasi Parish,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91644200000000353 -1.2846789999999999),2016-05-25,African Divine Church,church,provides security and guide and couselling
Point (36.91430199999999928 -1.2831490000000001),2016-05-25,Jesus Knows Ministry,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91428299999999751 -1.28317499999999995),2016-05-25,Ten Commands of God Sinai Church,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91427600000000098 -1.28319099999999997),2016-05-25,Cathedral of Praise/Worship Ministries,church,provides security and guide and couselling
Point (36.91339800000000082 -1.2837289999999999),2016-05-25,Church of Christ Foundation Ministries,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91315600000000074 -1.28358100000000008),2016-05-25,Outreach Community Church,church,provides security and guide and couselling
Point (36.91294099999999645 -1.28336699999999992),2016-05-25,P.E.F.A Church,church,"promotes faith nourishment,security and guide and counselling"
