WKT,osm_id,access,amenity,man_made,name,operator,operational_status,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.799719175930065 -1.316716734944585),612009058,yes,drinking_water,,,,operational,Ksh.3,,,,yes,Mo-Su 06:00-21:00,private
POINT (36.80010078026276 -1.316842016833824),612009060,private,drinking_water,,,,operational,,,,yes,,Mo-Su 06:00-21:00,faith_based_organization
POINT (36.802976556981811 -1.315662660477284),941480338,yes,drinking_water,,,,operational,ksh 3,,,,yes,Mo-Fr 05:00-20:00,private
POINT (36.803043122144366 -1.31571178536865),795819299,yes,drinking_water,,,,operational,ksh 3 per 20 litres,,,,yes,Mo-Fr 05:00-20:00,private
POINT (36.799826794101101 -1.31514132587605),769082381,yes,drinking_water,,,,operational,Ksh.2,,,,yes,Mo-Su 06:00-21:00,
POINT (36.799328049455355 -1.314872890153439),2117408696,,drinking_water,,Water tap,,operational,ksh 3,other,piped_tap,,,Mo-Su 05:00-20:00,private
POINT (36.799824727975952 -1.314625559254665),941480076,yes,drinking_water,,,UN-Habitat,operational,KShs 3,,,,yes,Mo-Su 06:00-21:00,private
POINT (36.799598981345056 -1.314430227100528),795841808,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.800176687904269 -1.314728119855463),769082378,yes,drinking_water,,,,operational,ksh 3,,,,yes,Mo-Su 06:00-21:00,ngo_self_help
POINT (36.800358147591659 -1.314510784776987),769082387,private,drinking_water,,,,operational,Ksh.2,,,yes,,Mo-Su 06:00-21:00,individual
POINT (36.799191056374532 -1.314185680202778),795842020,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.799455071236537 -1.313420426975885),795764931,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.799491991994714 -1.313349388904798),795764949,yes,drinking_water,,,,,,,,,yes,Mo-Su 05:00-20:00,private
POINT (36.799646861549697 -1.313202193704288),795764951,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.801369291275464 -1.314143111258172),795764935,yes,drinking_water,,,,,,,,,yes,Mo-Su 05:00-20:00,private
POINT (36.800483552405325 -1.313294426451448),795764963,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.802284315223865 -1.31495075357947),844676382,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.802367948376819 -1.315040022602383),844676400,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.802589742420473 -1.315141595299641),844676390,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.801624412816153 -1.314450882915257),795764939,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.803124150182995 -1.31555965087566),2117408701,,drinking_water,,Water tap,,operational,,other,piped_tap,,yes,Mo-Su 05:00-20:00,private
POINT (36.804090647597178 -1.315059780333391),2117408699,,drinking_water,,Water tap,,operational,ksh 3,other,piped_tap,,yes,Mo-Su 05:00-20:00,private
POINT (36.794205226884614 -1.312243763242296),1250967848,,drinking_water,,,,operational,Ksh 3 per 20 litres,other,water_tank,,yes,Mo-Su 05:00-20:00,private
POINT (36.793555116113488 -1.311512097611472),795850348,private,drinking_water,,Mashimoni Youth Group,,operational,3ksh per 20litres,,,yes,,Mo-Su 06:00-19:00,ngo_self_help
POINT (36.793775203358102 -1.311775594255845),612008961,private,drinking_water,,,,operational,ksh 3 per 20 litres,other,water_tank,no,yes,Mo-Su 05:00-20:00,private
POINT (36.79387392820783 -1.311781880814838),2117408685,,drinking_water,,Ushirika water point,,operational,,other,water_tank,,yes,Mo-Su 05:00-20:00,ngo_cbo
POINT (36.793876443490618 -1.311626782418855),2117408686,,drinking_water,,Wate_tank+tap,,,,other,water_tank,,yes,,private
POINT (36.795270898306164 -1.312819881297361),2117408704,,drinking_water,,Water_tank+tap,,operational,ksh 3,other,water_tank,,,Mo-Su 05:00-20:00,private
POINT (36.795637500773609 -1.312772732124047),771235549,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.795840430196293 -1.312750998600029),2117408693,,drinking_water,,Water tap,,operational,ksh 3,other,piped_tap,,,Mo-Su 05:00-20:00,private
POINT (36.795401782843065 -1.311549278121263),612008478,yes,drinking_water,,,,operational,ksh 3 per 20 litres,,,,yes,Mo-Fr 05:00-20:00,private
POINT (36.794257059676504 -1.311456506461758),612011360,private,drinking_water,water_tap,,,operational,ksh 3 per 20 litres,other,piped_tap,no,yes,Mo-Fr 05:00-20:00,private
POINT (36.794310958593556 -1.311395975870842),2117408691,,drinking_water,,Water tap,,operational,ksh 3,other,piped_tap,,yes,,private
POINT (36.794729214189836 -1.311187890727398),612008745,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.794797216656846 -1.311145142115726),771207530,private,drinking_water,,,,operational,Ksh 3 per 20 litres,,,yes,,Mo-Su 08:30-20:00,private
POINT (36.794838898486027 -1.311115954512807),612011365,yes,drinking_water,,,,operational,ksh 3 per 20 litres,,,,yes,Mo-Fr 05:00-20:00,private
POINT (36.795388128450746 -1.311301408045598),2117408690,,drinking_water,,Water tap,,operational,ksh 3,,,,yes,,
POINT (36.795947419546629 -1.311022643989173),771211973,private,drinking_water,,Water tank,,operational,Ksh 3 per 20 litres,,water_tank,no,yes,Mo-Su 05:00-20:00,private
POINT (36.79600985245888 -1.312863527959894),2117408687,,drinking_water,,Wate_tank+tap,,operational,ksh 3,other,water_tank,,,Mo-Su 05:00-20:00,private
POINT (36.79603877821102 -1.312668554899808),612008971,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.796038957874082 -1.312669363171383),771235523,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 08:30-20:00,private
POINT (36.796260841749266 -1.312582159646773),771235583,yes,drinking_water,,Water_tank+tap,,operational,ksh 3 per 20 litres,other,water_tank,,yes,Mo-Su 08:30-20:00,private
POINT (36.79630827279626 -1.312589434091266),612008969,private,drinking_water,,Water_tank+tap,,operational,ksh 3 per 20 litres,other,water_tank,yes,,Mo-Fr 05:00-20:00,private
POINT (36.796490810461997 -1.312499356709134),2117408692,,drinking_water,,Water tap,,operational,ksh 3,other,piped_tap,,yes,Mo-Su 05:00-20:00,private
POINT (36.796788422315629 -1.312261635028063),771235567,yes,drinking_water,,Water_tank+tap,,operational,ksh 3 per 20 litres,other,water_tank,,yes,Mo-Su 08:30-20:00,private
POINT (36.796788152821044 -1.312261545220102),612008485,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.797169307996086 -1.312237925724305),771235541,private,drinking_water,,Water_tank+tap,,operational,ksh 3 per 20 litres,other,water_tank,yes,,Mo-Su 05:00-20:00,private
POINT (36.796140647164243 -1.31187932247735),771235573,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 08:30-20:00,private
POINT (36.796003923578006 -1.311768050385025),771235555,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 08:30-20:00,private
POINT (36.796459189764001 -1.31153544769014),771212312,private,drinking_water,,,,operational,Ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.79664460203864 -1.311549457737237),781274694,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.797346186275533 -1.312659304680549),612008981,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Fr 05:00-20:00,private
POINT (36.79745110950072 -1.31255198417306),771235570,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.798602929358019 -1.312656251210107),771216936,yes,drinking_water,,,,operational,ksh 3 per 20 litres,,,,yes,Mo-Su 08:00-20:00,private
POINT (36.797899907816664 -1.312010262511868),771235534,private,drinking_water,water_tap,,,operational,ksh 3 per 20 litres,other,piped_tap,yes,,Mo-Su 08:30-20:00,private
POINT (36.797074715396676 -1.311360411902788),941480409,private,drinking_water,,,,operational,Ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.793921988075532 -1.310097441669656),612008492,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.79872572905736 -1.312383863670072),771216935,private,drinking_water,,,,operational,ksh 3 per 20 litres,,,yes,,Mo-Su 05:00-20:00,private
POINT (36.784056420130746 -1.30630251000444),772458372,yes,drinking_water,,,,operational,3/= per 20lit,,,,yes,07:00-18:00,private
POINT (36.784783247027121 -1.306053741328289),941479921,yes,drinking_water,,,,operational,3/= per 20lit,,,,yes,06:00-18:00,ngo_cbo
POINT (36.784728719289376 -1.306026349829954),612010914,yes,drinking_water,,,,,,,,,yes,,
POINT (36.786196656295161 -1.307313480504506),612007437,private,drinking_water,,,,operational,5 shillings per gerican,,,yes,,08:00-21:00,private
POINT (36.786337691794763 -1.306190519199121),772439546,yes,drinking_water,,,,operational,3/= per 20lit,,,,yes,06:00-18:00,private
POINT (36.786721452084137 -1.30658477710425),769076573,yes,drinking_water,,,,operational,,,,,yes,06:00-20:00,private
POINT (36.787516101784476 -1.305633618576721),941480313,yes,drinking_water,,Mizuka Youth Group (KWAHO),,operational,3/= per 20lit,public_community,water_tank,,yes,06:00 - 20:00,ngo_cbo
POINT (36.787571078679868 -1.305644575177803),773549078,yes,drinking_water,,public water tank,,operational,shs 3 per 20lit,,,,yes,06:00-18:00,public
POINT (36.78825020503465 -1.306892459881995),612009274,yes,drinking_water,,,,,,,,,yes,,
POINT (36.788163697272793 -1.306846298486906),612009273,yes,drinking_water,,,,,,,,,yes,,
POINT (36.788698374529901 -1.307287615758394),612009271,yes,drinking_water,,,,,,,,,yes,,
POINT (36.789916849381278 -1.306993314444534),612009277,yes,drinking_water,,,,,,,,,yes,,
POINT (36.804814599884651 -1.315076304981012),795819293,private,drinking_water,water_tap,,,operational,ksh 3 per 20 litres,other,piped_tap,yes,,Mo-Su 05:00-20:00,private
POINT (36.805254774373864 -1.314501803988214),795819303,private,drinking_water,water_tap,,,operational,ksh 3 per 20 litres,other,piped_tap,yes,,Mo-Su 05:00-20:00,private
POINT (36.805273549163303 -1.314367810615871),795819288,private,drinking_water,,Water tank,,operational,ksh 3 per 20 litres,other,water_tank,yes,,Mo-Su 05:00-20:00,private
POINT (36.805471627683453 -1.313707902132971),795819296,yes,drinking_water,,,,bad,KShs 3,,,,yes,Mo-Su 05:00-20:00,private
POINT (36.805716149103795 -1.313068918725752),2117408694,,drinking_water,,Water tap,,operational,ksh 3,other,piped_tap,,yes,Mo-Su 05:00-20:00,private
POINT (36.805812179007667 -1.312750190328467),795764957,private,drinking_water,,Water_tank+tap,,operational,ksh 3 per 20 litres,other,water_tank,yes,,Mo-Su 05:00-20:00,private
