WKT,osm_id,access,amenity,name,operator,operational_status,watsan:cost,opening_hours,operational_status:electricity,operator:type
POINT (36.779084424696194 -1.317854779229849),612006939,private,toilets,Community Toilets and Dumping site,,bad,,08:00-21:00,,private
POINT (36.779028549485531 -1.317726982773901),612007542,private,toilets,,,bad,,06:00-20:00,,private
POINT (36.778650807908555 -1.317594246883723),769158961,private,toilets,,,operational,,09:00-22:00,,private
POINT (36.778572295152721 -1.317195500323945),769158963,private,toilets,,,non-operational,,09:00-21:00,,private
POINT (36.776926491720687 -1.316635458876864),769158970,yes,toilets,,,operational,2 shillings per head,05:00-08:00,,private
POINT (36.777309443526306 -1.316175193802504),2433443723,,toilets,,Stephen juma,non-operational,,,,
POINT (36.777371966270074 -1.316003032190907),2433443694,,toilets,,Mwangii/mdogo kitanzi,operational,,,,
POINT (36.776866663922767 -1.315952739803437),2429045895,,toilets,,,non-operational,,,,
POINT (36.776777461215055 -1.315833474994792),2429045893,,toilets,,,operational,,,,
POINT (36.776849595932369 -1.315784978760733),2429045891,,toilets,,,operational,,,,
POINT (36.777625650506316 -1.316082152891297),2433443713,,toilets,,Christine khalibwa,operational,,,,
POINT (36.777811961096241 -1.316109634087432),2433443708,,toilets,,Kennedy makori,non-operational,,,,
POINT (36.777899187510329 -1.316011833358617),2433443699,,toilets,,Albert omwando,operational,,,,
POINT (36.778018124453951 -1.316046229758622),2433443703,,toilets,,Amina abdallah,operational,,,,
POINT (36.778693118558436 -1.316936315025879),2433443753,,toilets,,Jepter ogeto,,,,,
POINT (36.778489560315059 -1.316687996445796),2433443750,,toilets,,Paul nyamweya,operational,,,,
POINT (36.77834169761929 -1.316462219603242),2433443741,,toilets,,George abai,non-operational,,,,
POINT (36.778530613323539 -1.316537478553029),2433443746,,toilets,,Rainbal,operational,,,,
POINT (36.778578763022765 -1.316404922215124),941480184,private,toilets,,,non-operational,,24/7,,
POINT (36.778783219581427 -1.316338105196584),2452591056,,toilets,,,non-operational,,,,
POINT (36.779379072109393 -1.316676501046194),2452557821,,toilets,,Rose,non-operational,,,,
POINT (36.77895928937712 -1.316628184444151),2452557820,,toilets,,Samwel,non-operational,,,,
POINT (36.77882966248162 -1.316466260955011),948042738,yes,toilets,Nyaharwa,,operational,,,,
POINT (36.779120267476031 -1.316371244282613),2452591121,,toilets,,Lyahuka center,operational,,,,
POINT (36.779421203096213 -1.316422434739835),2452557819,,toilets,,Abubakar,operational,,,,
POINT (36.778345650206532 -1.316289249741049),2433443733,,toilets,,Julius,operational,,,,
POINT (36.778447429328232 -1.316233748505464),2433443729,,toilets,,Roseline adhiambo,operational,,,,
POINT (36.778280612179969 -1.316085296165374),2433443718,,toilets,,Leah wamboi,operational,,,,
POINT (36.778600861578759 -1.315971419833184),2452591011,,toilets,,,non-operational,,,,
POINT (36.778332444971859 -1.315874517177328),2433443689,,toilets,,Okebiro,non-operational,,,,
POINT (36.778292829267833 -1.315686998403477),2433443684,,toilets,,Nazarene church,operational,,,,
POINT (36.778970967475814 -1.316213900975935),2452557817,,toilets,,Mwanyagetinge(cbo),operational,,,,
POINT (36.779030346116095 -1.316076674613599),2452591029,,toilets,,,non-operational,,,,
POINT (36.77903816145907 -1.315984352161388),2452557812,,toilets,,Jane,operational,,,,
POINT (36.779117842024768 -1.315983184659545),2452557811,,toilets,,Mama faith,operational,,,,
POINT (36.779292115189882 -1.31622288175855),2452557818,,toilets,,Stephen kikumu,operational,,,,
POINT (36.779439528728012 -1.316186419780945),2452557816,,toilets,,Owino,operational,,,,
POINT (36.779407728366948 -1.315901279913043),2452557810,,toilets,,Waziri,operational,,,,
POINT (36.779614430713828 -1.318129411366658),612007543,yes,toilets,,,operational,2 shillings per head,08:00-21:00,,private
POINT (36.779483905503049 -1.317473275805771),2452557823,,toilets,,Charles moseti,operational,,,,
POINT (36.779814485527602 -1.317254504041878),2452557822,,toilets,,Akamba,operational,,,,
POINT (36.780487593169994 -1.317085755201038),2452591109,,toilets,,,non-operational,,,,
POINT (36.780746757129457 -1.317116559274488),2452608498,,toilets,,Tosha bio centre,operational,,,,
POINT (36.779945459896027 -1.316955982934053),2452591106,,toilets,,,non-operational,,,,
POINT (36.779899016995842 -1.316848932034705),2452591098,,toilets,,,non-operational,,,,
POINT (36.78002496079867 -1.316774391556763),2452591092,,toilets,,,operational,,,,
POINT (36.780109761761494 -1.316510626016312),612007909,,toilets,WASUP(Jasho letu),,operational,3/day,06:00-21:00,,ngo_cbo
POINT (36.779843590942811 -1.316383996993113),2452591064,,toilets,,,,,,,
POINT (36.780258253277957 -1.316895362668632),2452591104,,toilets,,,operational,,,,
POINT (36.780743163868323 -1.316844531452325),2452591095,,toilets,,,,,,,
POINT (36.780324548945927 -1.316638332726815),2452608473,,toilets,,Paul,non-operational,,,,
POINT (36.780279812844782 -1.316498591768993),2452591078,,toilets,,,non-operational,,,,
POINT (36.780354642507945 -1.316590734586529),2452591080,,toilets,,,operational,,,,
POINT (36.780174979451118 -1.316351306946369),2452591059,,toilets,,,operational,,,,
POINT (36.780757716575927 -1.316580855727113),2452608453,,toilets,,George owiti,operational,,,,
POINT (36.78079167289367 -1.31662827425196),2452591081,,toilets,,,operational,,,,
POINT (36.779603022109718 -1.316160824550037),2452557815,,toilets,,Mugo,operational,,,,
POINT (36.779628624095317 -1.316144120293936),2452557814,,toilets,,F.P.F.K,operational,,,,
POINT (36.779956599005551 -1.316168907254553),2452591039,,toilets,,,,,,,
POINT (36.779920846057244 -1.315973934452563),2452591014,,toilets,,,non-operational,,,,
POINT (36.779787625900603 -1.315658529316371),2452590988,,toilets,,,non-operational,,,,
POINT (36.779951568439962 -1.315755881019833),2452591000,,toilets,,,non-operational,,,,
POINT (36.780472411641689 -1.3162182117516),2452591045,,toilets,,,non-operational,,,,
POINT (36.780218727405455 -1.316038596092869),2452591020,,toilets,,,non-operational,,,,
POINT (36.780718729692595 -1.316251081415742),2452591053,,toilets,,,operational,,,,
POINT (36.780714687273814 -1.316186779012243),2452591042,,toilets,,,non-operational,,,,
POINT (36.780769215011567 -1.316056827082823),2452591026,,toilets,,,operational,,,,
POINT (36.780305774156488 -1.315835720190796),2444373428,,toilets,,,operational,,,,
POINT (36.780367218921917 -1.31592489937421),2452591008,,toilets,,,operational,,,,
POINT (36.780285112904949 -1.315716455376554),2444373426,,toilets,,,operational,,,,
POINT (36.780389227646381 -1.315641735249052),2444373424,,toilets,,,,,,,
POINT (36.78045642162963 -1.315697236497805),2444373425,,toilets,,,operational,,,,
POINT (36.780680551293017 -1.31566921645006),1367601155,,toilets,WASUP,,operational,,06:00-21:00,,other
POINT (36.781019485649722 -1.316880454573499),2452608482,,toilets,,Baptist church,operational,,,,
POINT (36.780939984747079 -1.316738917473105),2452591089,,toilets,,,operational,,,,
POINT (36.78133317734693 -1.316764243274646),2452608478,,toilets,,Ndungu,non-operational,,,,
POINT (36.781003585469186 -1.316594326899038),2452608460,,toilets,,Maranatha,operational,,,,
POINT (36.781693671270453 -1.316874078219534),2452608480,,toilets,,Wachira,non-operational,,,,
POINT (36.781831562666561 -1.316462848257966),2452608440,,toilets,,Mono,operational,,,,
POINT (36.78121567770777 -1.316234736391549),2452591048,,toilets,,,operational,,,,
POINT (36.781360216636983 -1.316039224747694),2452591023,,toilets,,,non-operational,,,,
POINT (36.781866507131113 -1.316161453204824),2452608423,,toilets,,,operational,,,,
POINT (36.782145074700722 -1.315845329629636),2452608419,,toilets,,,operational,,,,
POINT (36.781914656830345 -1.315689782446689),2452590997,,toilets,,,non-operational,,,,
POINT (36.777056298279241 -1.315591802085692),2429045886,,toilets,,,operational,,,,
POINT (36.777404754777955 -1.315463017627353),2433443669,,toilets,,Uzain musa,,,,,
POINT (36.777203262659725 -1.315370874768151),2433443658,,toilets,,Hadijah suleiman,operational,,,,
POINT (36.77733199123994 -1.315313756970689),2433443653,,toilets,,Sammy,,,,,
POINT (36.777351664344664 -1.315303339259053),769071897,yes,toilets,Ushirika wa Maisha na Maendeleo Kianda,Ushirika wa Maisha na Maendeleo,operational,150per month,24/7,,ngo_cbo
POINT (36.777276744849964 -1.315199431563949),2429045871,,toilets,,st.nelson school,,,,,
POINT (36.777549742864807 -1.315493103258041),2433443681,,toilets,,,non-operational,,,,
POINT (36.777757792684611 -1.315587491308958),2105336485,,toilets,public toilet,okiyondi,operational,Ksh 5 per visit,,,ngo_cbo
POINT (36.77771736849683 -1.315477207268146),2433443672,,toilets,,,non-operational,,,,
POINT (36.77787978390019 -1.315452689724211),2433443663,,toilets,,Ecosan,operational,,,,
POINT (36.778095649062962 -1.315612008851557),2105336477,,toilets,,Ushirika,operational,ksh 5 per visit,,,ngo_cbo
POINT (36.777794084622087 -1.315433381035592),769070794,yes,toilets,,moleiti,operational,2sh per visit,06:00-21:00,,private
POINT (36.777846007245508 -1.315406259063427),2433443676,,toilets,,Mukamu,non-operational,,,,
POINT (36.776951554717115 -1.314514915939821),2429056305,,toilets,,,operational,,,,
POINT (36.77707561205785 -1.314291024866406),2429056302,,toilets,,,non-operational,,,,
POINT (36.777376457846493 -1.314434537879259),2429056304,,toilets,,,non-operational,,,,
POINT (36.778323282155966 -1.315577881869113),769068468,yes,toilets,,,operational,,06:00-21:00,,ngo_cbo
POINT (36.778750700568146 -1.315547796239442),2452590957,,toilets,,,non-operational,,,,
POINT (36.778927219521478 -1.315611919043723),2452590963,,toilets,,,non-operational,,,,
POINT (36.77890916338427 -1.315558842605014),2452590960,,toilets,,,non-operational,,,,
POINT (36.779230670424454 -1.315279809599867),844847401,private,toilets,Constant Gardner,,operational,KShs 5,,,private
POINT (36.776781323970766 -1.314075036868431),2429056296,,toilets,,,non-operational,,,,
POINT (36.777065281432087 -1.314237589168028),2429056300,,toilets,,,operational,,,,
POINT (36.776974910914504 -1.314133591620664),2429056297,,toilets,,,operational,,,,
POINT (36.776891008266958 -1.313924608625971),2429056294,,toilets,,,operational,,,,
POINT (36.776865675775952 -1.313816390093691),2429056291,,toilets,,,non-operational,,,,
POINT (36.777819327281577 -1.313913382637353),2429045852,,toilets,,,non-operational,,,,
POINT (36.777223025595973 -1.313120737906259),2433443607,,toilets,,Soso,operational,,,,
POINT (36.777196345632035 -1.313060386971493),2433443602,,toilets,,John,operational,,,,
POINT (36.777348789735754 -1.31293779913078),772439521,yes,toilets,,Tony nyang tek,operational,3/= per 20lit,06:00-18:00,,ngo_cbo
POINT (36.779571311580185 -1.315543575270492),2444373422,,toilets,,,operational,,,,
POINT (36.779481300388717 -1.315378777859519),2444373418,,toilets,,,operational,,,,
POINT (36.779791668319383 -1.315436434502637),2444373419,,toilets,,,non-operational,,,,
POINT (36.77996558215839 -1.315589018042379),2444373423,,toilets,,,non-operational,,,,
POINT (36.779976721267914 -1.315468855137812),2444373421,,toilets,,,operational,,,,
POINT (36.779602572952079 -1.315175632480193),2444373412,,toilets,,,non-operational,,,,
POINT (36.779740105022078 -1.315129112006384),2444373408,,toilets,,,operational,,,,
POINT (36.77982912806673 -1.315164496305082),2444373410,,toilets,,,non-operational,,,,
POINT (36.779892818620375 -1.315105941577034),2444373407,,toilets,,,operational,,,,
POINT (36.780009060618141 -1.315251430315977),2444373415,,toilets,,,non-operational,,,,
POINT (36.780091975118864 -1.3151038759961),2444373406,,toilets,,,operational,,,,
POINT (36.780253671870007 -1.315465711862959),2444373420,,toilets,,,non-operational,,,,
POINT (36.780183962603957 -1.315318247363612),2444373417,,toilets,,,non-operational,,,,
POINT (36.780606260619024 -1.315521841770595),2452590971,,toilets,,,operational,,,,
POINT (36.780792122051309 -1.31541730542961),2452590945,,toilets,,,operational,,,,
POINT (36.780296611340589 -1.31517671017457),2444373413,,toilets,,,operational,,,,
POINT (36.780454984325175 -1.315165484191587),2444373411,,toilets,,,operational,,,,
POINT (36.780600511401211 -1.314998261943168),2444373405,,toilets,,,operational,,,,
POINT (36.780883211221123 -1.315584976689185),2452590991,,toilets,,Kibera school for girls(SHOFCO),operational,,,,
POINT (36.781271463086917 -1.315351655886756),2452590925,,toilets,,,operational,,,,
POINT (36.781271463086917 -1.315351655886756),7208344228,,toilets,,,operational,,,,
POINT (36.781185045156583 -1.315085824614919),2452590922,,toilets,,,non-operational,,,,
POINT (36.781714152858925 -1.315480350542999),2452590948,,toilets,,,operational,,,,
POINT (36.781714152858925 -1.315480350542999),7208344231,,toilets,,,operational,,,,
POINT (36.781545269585514 -1.315332886044505),7208344230,,toilets,,,operational,,,,
POINT (36.781545269585514 -1.315332886044505),2452590937,,toilets,,,operational,,,,
POINT (36.781812069224898 -1.315296334246038),7208344229,,toilets,,,operational,,,,
POINT (36.781812069224898 -1.315296334246038),2452590931,,toilets,,,operational,,,,
POINT (36.782053356710215 -1.31527002054312),2460258589,,toilets,,Usafi Group Soweto,operational,,,,
POINT (36.781890312486148 -1.314943389333974),2452590911,,toilets,,,non-operational,,,,
POINT (36.781476997623926 -1.314626726757156),956946423,,toilets,WASUP (KIDYOT BIO CENTRE),,operational,3/day,06:00-21:00,,ngo_cbo
POINT (36.781120276624598 -1.314452050417813),2452590893,,toilets,,,,,,,
POINT (36.781480770548114 -1.314326588792757),612008456,,toilets,,Utumishi Development self help Group,,,,,
POINT (36.781583178490507 -1.314884834600735),2452590901,,toilets,,,operational,,,,
POINT (36.782150554423957 -1.314605083057155),2452590896,,toilets,,,non-operational,,,,
POINT (36.781711188418491 -1.314454026191383),612007930,,toilets,Katwekera Bio-centre,,operational,2,06:00-21:00,,ngo_cbo
POINT (36.781658097985208 -1.313801931019726),1980739586,,toilets,HNP Water Community Center,,,,,,
POINT (36.773715373906072 -1.311965448330737),2433643004,,toilets,,,operational,,,,
POINT (36.773570745145328 -1.311523682842838),2433642999,,toilets,,salvation army,operational,,,,
POINT (36.772545587743089 -1.310943702744609),2433655014,,toilets,,,operational,,,,
POINT (36.772557176010253 -1.310948642185468),2433655015,,toilets,,,non-operational,,,,
POINT (36.772556996347198 -1.310906791649884),2433642988,,toilets,,,operational,,,,
POINT (36.77300768112525 -1.310830814066324),2433642986,,toilets,,,non-operational,,,,
POINT (36.773357664759935 -1.311356550158749),2433642997,,toilets,,,non-operational,,,,
POINT (36.77334535784054 -1.311009262595223),2433642990,,toilets,,kaganyo youth development watsan project,operational,,,,
POINT (36.77305547149836 -1.310507325558284),2433642982,,toilets,,,non-operational,,,,
POINT (36.772994116564448 -1.310388689146065),769117987,yes,toilets,St Allocious Secondary School Public Toilets,,operational,,06:00-19:00,,private
POINT (36.773238817647851 -1.310400543806722),2433655012,,toilets,,Kwa mzee,operational,,,,
POINT (36.773065352966491 -1.310198026679207),2433655011,,toilets,,,non-operational,,,,
POINT (36.773944713798109 -1.310763547858632),2433642985,,toilets,,nicofeli youth club center,operational,,,,
POINT (36.773584758863755 -1.310321512734528),2433642980,,toilets,,wiseladies cbo group,,,,,
POINT (36.774267298816632 -1.312639636738521),2444298681,,toilets,,,non-operational,,,,
POINT (36.774102188467417 -1.31222535260857),2433643010,,toilets,,,operational,,,,
POINT (36.775330185460803 -1.312240260731501),2438933715,,toilets,,,,,,,
POINT (36.774370964400426 -1.312124498256558),2433643006,,toilets,,,operational,,,,
POINT (36.77497553058663 -1.312172276097904),2444298668,,toilets,,,operational,,,,
POINT (36.77494022679597 -1.312037833560797),2444298662,,toilets,,,non-operational,,,,
POINT (36.775119171200565 -1.312111655716329),2444298667,,toilets,,,non-operational,,,,
POINT (36.77511827288528 -1.312067021152953),2438933710,,toilets,,,operational,,,,
POINT (36.775257781248911 -1.312065404609396),2438933711,,toilets,,,operational,,,,
POINT (36.775300900382547 -1.311944523071527),769129413,yes,toilets,Orthodox Community Shared Toilets,,operational,,24/7,,faith_based_organization
POINT (36.774924596110026 -1.311745328964426),2444298649,,toilets,,,non-operational,,,,
POINT (36.774674055977286 -1.311610616980383),2433643001,,toilets,,,non-operational,,,,
POINT (36.775608842861935 -1.312624099962291),2438933721,,toilets,,Kwa ogongi,operational,,,,
POINT (36.775630312597229 -1.312658496408961),2438933723,,toilets,,,non-operational,,,,
POINT (36.776024673006951 -1.312636044420324),2438933722,,toilets,,,operational,,,,
POINT (36.775426125533151 -1.312400927183196),2438933719,,toilets,,,,,,,
POINT (36.775394325172087 -1.312383324822305),2438933717,,toilets,,,,,,,
POINT (36.775521077458677 -1.312195177130571),2438933714,,toilets,,,operational,,,,
POINT (36.776055844547315 -1.312727019877044),2438933724,,toilets,,,operational,,,,
POINT (36.776294257423729 -1.312593206025435),2433443580,,toilets,,Okuyu,non-operational,,,,
POINT (36.776389928001478 -1.312429486115386),2433443566,,toilets,,,non-operational,,,,
POINT (36.776196071563163 -1.312335187753108),2438933716,,toilets,,,,,,,
POINT (36.776397473849869 -1.312465499108044),2433443570,,toilets,,John chomba,,,,,
POINT (36.77625257559454 -1.312086778907472),2438933712,,toilets,,Jemima,operational,,,,
POINT (36.776305127038661 -1.312024991020123),2438933708,,toilets,,Ndungu,non-operational,,,,
POINT (36.77656644695481 -1.312053998996496),2429056290,,toilets,,,operational,,,,
POINT (36.776395407724713 -1.311991223220581),2438933707,,toilets,,Mama njoki,operational,,,,
POINT (36.774839884978732 -1.311374242334866),2438933706,,toilets,,Kamau,operational,,,,
POINT (36.774765953630855 -1.311216898713466),2438933701,,toilets,,Kwa sam,operational,,,,
POINT (36.77600832366879 -1.311348018398663),2438933704,,toilets,,Kwa njoro,operational,,,,
POINT (36.772151317164891 -1.309837896403129),769117272,yes,toilets,Community Bathrooms and Toilets,,operational,,24/7,,private
POINT (36.771974708380036 -1.309576554948433),2433581189,,toilets,,Mama Dorah,operational,,,,
POINT (36.772315978356474 -1.3094817176303),2433621597,,toilets,,,non-operational,,,,
POINT (36.772487287081155 -1.309449656149771),2433621595,,toilets,,,operational,,,,
POINT (36.771992225528074 -1.309317009627963),2433621593,,toilets,,Tujiinue youth group,operational,,,,
POINT (36.772000669691742 -1.309150954493612),769116644,yes,toilets,Ushirika Public Toilet C and Ablution Block,,operational,150 per month,06:00-20:00,,ngo_cbo
POINT (36.772406079379472 -1.309369008502278),612008774,,toilets,,,operational,,,,
POINT (36.772095621617275 -1.30886725075294),2433621585,,toilets,,,operational,,,,
POINT (36.772728844061056 -1.310004939380513),2433581194,,toilets,,Beatrice akinyi,operational,,,,
POINT (36.772850565782051 -1.309736862338823),2433581193,,toilets,,Robert nyamwayo,operational,,,,
POINT (36.772851823423451 -1.309723121705763),2433581192,,toilets,,Waweru lefty,operational,,,,
POINT (36.772878683050443 -1.309718451686663),2433581190,,toilets,,Owino,operational,,,,
POINT (36.7732415125937 -1.309499409819647),2433581188,,toilets,,Gachanja,operational,,,,
POINT (36.77265751782749 -1.309205557805623),2433621592,,toilets,,,operational,,,,
POINT (36.773189050981109 -1.309400261711193),2433581186,,toilets,,Vision sisters,operational,,,,
POINT (36.772886767887996 -1.308917184050557),2433621571,,toilets,,,operational,,,,
POINT (36.773029779681231 -1.308877488875192),769121503,yes,toilets,Ushirika Toilet B and Ablution Block,,operational,150 per month,24/7,,ngo_cbo
POINT (36.77355430597563 -1.308838601972039),2433621576,,toilets,,,non-operational,,,,
POINT (36.771881193758958 -1.308393153800367),2433621553,,toilets,,,operational,,,,
POINT (36.771928624805959 -1.308616147320385),2433621552,,toilets,,,operational,,,,
POINT (36.772604427394207 -1.308670750644049),2433621581,,toilets,,,operational,,,,
POINT (36.772542084313486 -1.30846643721468),2433621579,,toilets,,,operational,,,,
POINT (36.771983781364398 -1.308373036784285),2433621572,,toilets,,,operational,,,,
POINT (36.771952699655571 -1.308265536476923),2433621567,,toilets,,,non-operational,,,,
POINT (36.771989620413756 -1.308257902787417),2433621568,,toilets,,,operational,,,,
POINT (36.772009024023887 -1.308217309520481),2433621566,,toilets,,,operational,,,,
POINT (36.772104425107059 -1.308083854660433),2433621564,,toilets,,,operational,,,,
POINT (36.772321458079709 -1.308212190458025),2433621565,,toilets,,,operational,,,,
POINT (36.772577388104146 -1.308061133206439),2433621561,,toilets,,,operational,,,,
POINT (36.772183746346649 -1.308008415840038),2433621559,,toilets,,,operational,,,,
POINT (36.772485849776693 -1.308058349154741),2433621563,,toilets,,,non-operational,,,,
POINT (36.77247372252036 -1.307936120301683),769124158,yes,toilets,Ushirika A Public Toilet and Ablution Block,,operational,5ksh per visit,24/7,,ngo_cbo
POINT (36.772887576371751 -1.308440033631831),2433621577,,toilets,,,operational,,,,
POINT (36.772962226371867 -1.308678204716106),2433621573,,toilets,,,non-operational,,,,
POINT (36.776787612177756 -1.312592577369745),2433443577,,toilets,,,non-operational,,,,
POINT (36.776985511034852 -1.312674661840652),2433443591,,toilets,,Alfred oleche,operational,,,,
POINT (36.777197872768021 -1.312785484852918),2433443599,,toilets,,Kiogora,operational,,,,
POINT (36.77680782427165 -1.311847530451467),2429056289,,toilets,,,operational,,,,
POINT (36.776758506762555 -1.311724942551304),2429056288,,toilets,,,operational,,,,
POINT (36.776937451167157 -1.311125204737778),772439555,yes,toilets,,,operational,3/= per 20lit,06:00-19:00,,private
POINT (36.781281973375734 -1.30807990310323),5658304321,,toilets,,Toi Market Community,,,,,
POINT (36.782347465134237 -1.317330212006688),2452608515,,toilets,,George opiyo,operational,,,,
POINT (36.782802461825639 -1.317178436843619),2452608502,,toilets,,Samuel,non-operational,,,,
POINT (36.782823751897872 -1.317086383855596),2452608494,,toilets,,,operational,,,,
POINT (36.782606898588284 -1.31678804234325),2452608479,,toilets,,kangugi,non-operational,,,,
POINT (36.782520929815597 -1.316610133074013),2452608465,,toilets,,Hapep project,non-operational,,,,
POINT (36.782413850633731 -1.316425398397863),2452608437,,toilets,,Omondi,operational,,,,
POINT (36.782795814292541 -1.316612647692743),2452608469,,toilets,,Ngugi,non-operational,,,,
POINT (36.783071507253233 -1.316925717705431),2452608486,,toilets,,Ndungu,operational,,,,
POINT (36.78252730785411 -1.31571340190984),2452608412,,toilets,,Mwangi,non-operational,,,,
POINT (36.782657743233365 -1.315775279513805),2452608416,,toilets,,Jitahidi primary school,operational,,,,
POINT (36.783110673799619 -1.316264193358138),2452608430,,toilets,,Njoroge,non-operational,,,,
POINT (36.78357321633942 -1.316118525062595),2452885364,,toilets,,,operational,,,,
POINT (36.783338486555671 -1.315887449506041),2452885359,,toilets,,,non-operational,,,,
POINT (36.783426790948106 -1.315936035545936),2452885362,,toilets,,,non-operational,,,,
POINT (36.783605106532001 -1.316475780583625),2452608444,,toilets,,Musa,,,,,
POINT (36.783916013451837 -1.315932533040319),2452885361,,toilets,,,,,,,
POINT (36.78391259985375 -1.315746990043385),2452885355,,toilets,,,non-operational,,,,
POINT (36.784858975005577 -1.316052695922546),2452885363,,toilets,,,non-operational,,,,
POINT (36.784296449974661 -1.315799797054572),2452885358,,toilets,,,non-operational,,,,
POINT (36.78486652085396 -1.31579180415668),2452885357,,toilets,,,operational,,,,
POINT (36.782435500032079 -1.31535228454176),1367601151,,toilets,WASUP,,operational,,24/7,,other
POINT (36.782322491969332 -1.315142313762555),2452590916,,toilets,,,non-operational,,,,
POINT (36.782384296060883 -1.314939527595469),2452590904,,toilets,,St. Joseph mission of charity,operational,,,,
POINT (36.783585523258807 -1.31541838312386),2452885345,,toilets,,,non-operational,,,,
POINT (36.78258839329343 -1.314685640727965),948042742,yes,toilets,Tosha,,operational,,,,
POINT (36.782835699491152 -1.314373019473642),1367601146,,toilets,WASUP (Councillor Odiawo),,operational,,24/7,,other
POINT (36.783438648709854 -1.314867501680966),2452885312,,toilets,,,non-operational,,,,
POINT (36.783337678071916 -1.314392956825699),2456557489,,toilets,,Fruitful talent center,operational,,,,
POINT (36.783724043475623 -1.315531810442044),612007932,,toilets,WASUP(Multivision),,operational,Free,06:00-21:00,,ngo_cbo
POINT (36.783849807615397 -1.315429339682132),2452885349,,toilets,,Muvi bio center,operational,,,,
POINT (36.784904609422007 -1.315355427816765),2452885339,,toilets,,,non-operational,,,,
POINT (36.784877300637369 -1.315009757350505),2452885320,,toilets,,,,,,,
POINT (36.783867684089543 -1.314925876798855),1367601148,,toilets,WASUP,,operational,,24/7,,other
