WKT,osm_id,access,amenity,name,operator,operational_status,watsan:cost,opening_hours,operational_status:electricity,operator:type
POINT (36.78884282362759 -1.313519125885467),612007824,,toilets,,,,,,,
POINT (36.789691192581913 -1.313001832194121),1720269511,,toilets,,Wsup(Ablution block),,,,,
POINT (36.790445328262926 -1.313075115473565),612008516,,toilets,,Toilets,,,,,
POINT (36.790884065447692 -1.313308975336262),612007462,,toilets,,Toilets,,,,,
POINT (36.790700180309031 -1.313068559494009),769064952,private,toilets,,,operational,shs 3 per 20lit,07:00-19:00,,private
POINT (36.790613852210228 -1.312957107838686),773538281,private,toilets,,,bad,,,,private
POINT (36.792443450949399 -1.313374714740739),612008676,,toilets,,,,,,,
POINT (36.793154647159838 -1.313490387349873),941480002,yes,toilets,Lindi Usafi Bio Center,,operational,5ksh per person,Mo-Su 07:00-19:00,,ngo_cbo
POINT (36.785543670915132 -1.312259479636827),769097863,private,toilets,,,bad,,,,private
POINT (36.785750373262005 -1.312626434969118),1367652457,,toilets,WSUP (Fatuma Toilet),,operational,,,,private
POINT (36.785985192877277 -1.312171378018202),769097853,private,toilets,,,bad,,,,private
POINT (36.786308227053446 -1.311680218173046),775528053,yes,toilets,Stara Clean Bathrooms and Toilets,,operational,5sh per visit,06:00-19:00,,private
POINT (36.785986360687147 -1.310129413333839),1376590139,,toilets,Gange (WSUP),,under_construction,,,,ngo_self_help
POINT (36.786588681085149 -1.311329697566347),1376590140,,toilets,Alaksen Ablution Bloc (WSUP),,under_construction,,,,ngo_cbo
POINT (36.786842455152907 -1.3107177457669),1367652447,,toilets,WSUP (Girls Soccer School),,under_construction,,,,ngo_cbo
POINT (36.787383600280066 -1.310636379696008),1376590142,,toilets,Halima Ibrahim (WSUP),,under_construction,,,,private
POINT (36.787092096970362 -1.310274543130203),612008926,,toilets,,toillets,,,,,
POINT (36.783531175184123 -1.308531188857177),1249779967,,toilets,,mama safi makina sokoni,,,,,
