WKT,osm_id,amenity,name,operational_status,opening_hours,operational_status:electricity,operator:type
POINT (36.795138127307169 -1.315771238160904),3029503500,school,MOC Primary,,,,religious
POINT (36.795542998005722 -1.315706845937192),2930995487,school,Lumina Academy,,,,ngo
POINT (36.796053420750155 -1.317281536186159),748863827,school,Wings Of Life Children's Centre,operational,Mo-Fr 08:00-16:00,never,cbo
POINT (36.798656199454364 -1.31790031176737),3502586532,school,Open Gate of Hope Academy,,,,religious
POINT (36.797385891811096 -1.31745360790168),748863829,school,PCEA Silanga High School,operational,Mo-Fr 06:30-20:00,always,religious
POINT (36.797698056372326 -1.317185082620183),748863823,school,Siloam Primary Academy,operational,Mo-Fr 08:00-16:10,sometimes,religious
POINT (36.797740277190677 -1.317116379658896),2930995489,school,Siloam Secondary Academy,,,,religious
POINT (36.797736773761066 -1.31704623977098),2930995488,school,Siloam Pre-School Academy,,,,religious
POINT (36.798427218888449 -1.31743052730169),748863824,school,St Bakita Nursery School,operational,,,religious
POINT (36.798496748491438 -1.317317998147747),2930836429,school,Zelyn Academy,operational,Mo-Fr 06:30-18:00,never,cbo
POINT (36.798483902582873 -1.317225406318152),612008786,school,Zelyn Pre-School Academy,operational,Mo-Fr 06:30-18:00,never,cbo
POINT (36.79402529433321 -1.315585784959832),612007406,school,Saviour Kings Academy,,,,ngo
POINT (36.793448755583853 -1.314419001114199),890550499,school,Anwar Junior Academy,,Mo-Fr 07:00-15:00,,cbo
POINT (36.793528346318027 -1.314299197384889),2923338570,school,Emuhaya Rescue Rentre,,,,private
POINT (36.794256700350388 -1.314699022102247),612007264,school,Kambi Muru Tenderlets CBO School,,,,religious
POINT (36.794198579351516 -1.31436035656076),752254053,school,St Veronica Nursery School,operational,Mo-Fr 08:00-15:00,sometimes,religious
POINT (36.795225892710427 -1.315299387713261),2923338571,school,MOC Nursery School,,,,religious
POINT (36.794655911662652 -1.315265081110797),2923291988,school,Kara Kids Centtre,,,,private
POINT (36.795035180375613 -1.314627355412338),612007412,school,Rudolf High School (Closed),,,,private
POINT (36.794167946800322 -1.313825550500752),612007413,school,Lindi Ushirika Primary,operational,Mo-Fr 07:00-15:00,never,cbo
POINT (36.793286969001187 -1.313206953524823),612007086,school,Bridge 0f Hope Educational Centre,operational,Mo-Fr 07:00-16:00,sometimes,private
POINT (36.793512985126668 -1.312949384355544),748804556,school,Maranatha Laini Saba Academy,operational,Mo-Fr 08:00-15:00,never,religious
POINT (36.794688790002049 -1.313747597231723),752254027,school,P A G School,operational,Mo-Fr 08:00-15:00,sometimes,religious
POINT (36.795568330496735 -1.313848451518267),2962598204,school,Wings Nursery School,,,,religious
POINT (36.794613241686662 -1.313084006459542),748826131,school,Kibera Free Methodist Academy,,Mo-Fr 08:00-16:00,,religious
POINT (36.79643385727298 -1.314997633288075),2962598199,school,Amazing Grace_Closed,,,,private
POINT (36.797049203242601 -1.315401678862797),2962598200,school,Carona Vision Centre,,,,religious
POINT (36.796111182422926 -1.314572931834414),748828881,school,Kibera Community Academy,operational,Mo-Fr 08:00-16:00,always,religious
POINT (36.796097707693662 -1.313021320517415),748858917,school,Ushirika Children Centre,operational,08:00-15:00,always,cbo
POINT (36.797358672857982 -1.313256617312071),2962598203,school,Tree Hill,,,,private
POINT (36.79783064770826 -1.313245750552206),612008568,school,St. Bakhita Pre-School-Soweto,operational,Mo-Fr 08:00-15:00,always,religious
POINT (36.797552798790882 -1.313103494782187),3459074425,school,Victory Kindergated,,,,
POINT (36.799328408781477 -1.317202505331629),2964077208,school,Wanken Children Centre,,,,private
POINT (36.799903959384011 -1.317459894446386),748845943,school,Undugu School Kibera,operational,Mo-Fr 07:00-16:00,never,ngo
POINT (36.799558916483377 -1.317128683326613),2964135581,school,Bright Star Juniour School,,,,private
POINT (36.800859048194084 -1.317317189877673),2964077207,school,St Marys Educational Centre,,,,cbo
POINT (36.800028465882384 -1.316744844788383),612009057,school,Soweto Baptist High School,operational,Mo-Fr 07:00-17:00,never,religious
POINT (36.802732484719115 -1.316580316880236),2964135582,school,Little Stommers Schools(Previously Little Steps Academy),,,,private
POINT (36.802328153009739 -1.315821710167719),612008576,school,Victory Hope Community Centre,operational,Mo-Fr 08:00-16:00,sometimes,cbo
POINT (36.798852301680888 -1.315307111189138),748863830,school,Jesus Winners Pre-School,,Mo-Fr 08:00-17:00,,religious
POINT (36.799568528456916 -1.315105851769162),2962598202,school,Soweto Resource Centre,,,,private
POINT (36.798928388985459 -1.314295156029596),2962598201,school,Harvest Pre-School,,,,religious
POINT (36.798873052763959 -1.314144278760879),748858916,school,Shepherd Staff Junior Children Centre,operational,Mo-Fr 08:00-15:00,always,private
POINT (36.801915287305157 -1.315521392731336),752223310,school,Kibera Blessed Academy,operational,Mo-Fr 08:00-16:00,always,religious
POINT (36.793789845897237 -1.312801560475834),2952263124,school,Raibow Educational Centre,,,,religious
POINT (36.793298018279181 -1.3123986819841),2952263123,school,Lindi PAG,,,,religious
POINT (36.794027899447528 -1.312223376833245),2952263122,school,Lasoha Pre-school,,,,cbo
POINT (36.794035714790496 -1.312174431489229),2954147620,school,Strait Secondary School,,,,private
POINT (36.794440854983641 -1.31197802144777),2952263120,school,Desert Stream School,,,,religious
POINT (36.795166514070146 -1.311889560587287),2954090746,school,ABC Academy,,,,religious
POINT (36.795790304203443 -1.311884261916352),612011358,school,Kibera Glory Secondary School,operational,Mo-Fr 07:00-17:00,often,religious
POINT (36.793332064428448 -1.311002796418258),712877069,school,Kibera Slum Educational Program,operational,08:00-16:00,,ngo
POINT (36.793230015812171 -1.310447962448855),748826133,school,Magoso Primary School,operational,Mo-Fr 08:00-17:00,always,private
POINT (36.7932465448134 -1.310386982793376),2953922777,school,Magoso School,operational,Mo-Fr 08:00-17:00,always,private
POINT (36.79406634734169 -1.310458739412858),748804441,school,Don Bosco,operational,Mo-Fr 08:00-15:00,often,religious
POINT (36.79530647159141 -1.310951875274033),612007690,school,YMCA School,operational,Mo-Fr 08:00-16:00,often,ngo
POINT (36.795543806489476 -1.310851649526822),752219201,school,YMCA School,operational,Mo-Fr 08:00-16:30,always,ngo
POINT (36.794603719544639 -1.310730318890217),612011372,library,Christ the King Library,,,,
POINT (36.794933580916975 -1.310554474774307),748805433,school,Kibera Church Of God Primary School,operational,Mo-Fr 08:00-16:00,always,religious
POINT (36.795639207572648 -1.310450117841656),2984275384,school,Gospel Revival Academy,,,,religious
POINT (36.796220776887587 -1.312572999235144),2954090747,school,Mobjab Children Centre,,,,private
POINT (36.796281053843153 -1.311337151630491),2847951200,school,Glory Primary School,,,,religious
POINT (36.798634190729906 -1.310290708577289),2979078701,school,Shadrack Kimalel Secondary School,,,often,government
POINT (36.794199028509155 -1.310100584951265),612007672,school,Laini Saba Primary School,operational,Mo-Fr 07:30-17:00,always,religious
POINT (36.793924323695265 -1.309580416695207),748803831,school,Goodnews Academy,operational,Mo-Fr 08:00-17:00,often,religious
POINT (36.794754097523203 -1.309822000377281),612007716,school,Jakes Academy,operational,Mo-Fr 08:00-16:00,always,private
POINT (36.798829574304207 -1.310467989640247),478551902,school,Shadrack Kimalel Primary School,,,often,government
POINT (36.801476280625799 -1.308765677800957),2115330631,school,Mbagathi Road Primary.,,,often,government
POINT (36.782248201295339 -1.307235976073534),2923513486,school,Elite Visionary School,,,,private
POINT (36.782371629815373 -1.307089588787194),752317837,school,Baraka Junior School,operational,07:30-15:00,often,religious
POINT (36.783512849552324 -1.307334136377936),2923513482,school,Archbishop Benjamin Nzimbi Academy,,,,religious
POINT (36.787236186741936 -1.306240991399084),6969796689,driving_school,,,,,
POINT (36.784178950335495 -1.303596947261245),1875796681,school,Moi Girls School Nairobi,,,,
POINT (36.78403935214034 -1.303174129850599),1875796680,school,Joseph Kangethe Primary School,,,,government
POINT (36.789601630548084 -1.306780020062148),1249726679,school,Egesa Children Centre,,,,cbo
POINT (36.789615374771934 -1.306775439845742),3097131529,school,Egesa Children Centre,,,,cbo
POINT (36.802104023346345 -1.3056009283896),1042371479,university,Great Lakes University of Kisumu Nairobi Campus,,,,
