WKT,osm_id,amenity,denomination,name,religion,operational_status,opening_hours,operator:type
POINT (36.799613983210293 -1.314230404536216),612007750,place_of_worship,pentecostal,AIC Church,christian,,,
POINT (36.800777481166286 -1.3138846441063),612009113,place_of_worship,pentecostal,Revival church,christian,,,
POINT (36.800814761250578 -1.313567532355622),612008700,place_of_worship,pentecostal,Church of Hope,christian,,,
POINT (36.800205793319471 -1.312915077720817),612007014,place_of_worship,protestant,Vision of Holy Spirit,christian,,,
POINT (36.80181386750958 -1.315535223140374),612008575,place_of_worship,,World misionary church,christian,,,
POINT (36.794065269363344 -1.312286242411294),612007652,place_of_worship,protestant,A.I.C Laini Saba,christian,,,
POINT (36.795357765394137 -1.311822743447976),612009294,place_of_worship,protestant,A.B.C Church,christian,,,
POINT (36.794508318461475 -1.310427845449273),612011362,place_of_worship,catholic,Christ the King Parish,christian,,,
POINT (36.794897199147968 -1.310945319288904),612007680,place_of_worship,protestant,Kibera Church of God,christian,,,
POINT (36.795781321050598 -1.311039887127583),612009160,place_of_worship,protestant,Reedemed Gospel Church-Laini Saba,christian,,,
POINT (36.796533749932578 -1.312515342525947),612008484,place_of_worship,pentecostal,Bible Truth Revival Church,christian,,,
POINT (36.79631168639434 -1.311766074609318),612007701,place_of_worship,pentecostal,Glory Worship Center,christian,,,
POINT (36.798387603184416 -1.31276500864032),612011315,place_of_worship,protestant,Assemblies Of God Kibera,christian,,,
POINT (36.798022617684481 -1.311800830299728),612008487,place_of_worship,protestant,Healing and Intercessory Ministry,christian,,,
POINT (36.793699924537293 -1.309519706442823),612007714,place_of_worship,pentecostal,A.C.F Church,christian,,,
POINT (36.800085149576816 -1.312836854999559),1250967850,place_of_worship,evangelical,Life in Christ church,christian,,,
POINT (36.782569798167053 -1.307092732072569),612009262,place_of_worship,protestant,fpkf church,christian,,,
POINT (36.78324667873364 -1.307081506053353),612009263,place_of_worship,protestant,Holy Trinity Church,christian,,,ngo_cbo
POINT (36.785440723983569 -1.305907353973059),612009710,place_of_worship,sunni,Kambi Madrasa,muslim,,,
POINT (36.804515460895033 -1.315551208937759),2064445796,place_of_worship,catholic,"St, Judes catholic church",christian,,,
