country,County,SubCounty,Division,Location,SubLocation,Total,Sex Male ,Sex Female,Total,HouseholdsConventional,HouseholdsGroupQuarters,LandAreaSq.Km,DensityPersonsperSq.Km
KENYA,NAIROBI CITY,STAREHE,CBD,NGARA,NGARA WEST,10582,5241,5340,4055,3251,804,1.3,8117
KENYA,NAIROBI CITY,STAREHE,CBD,STAREHE,STAREHE,11024,6713,4310,3527,1656,1871,2.4,4638
KENYA,NAIROBI CITY,STAREHE,CBD,STAREHE,CITY CENTRE,10281,6181,4099,3511,1640,1871,1.3,7749
KENYA,NAIROBI CITY,STAREHE,CBD,STAREHE,CITY SQUARE,743,532,211,16,16,-,1.1,707
KENYA,NAIROBI CITY,STAREHE,CENTRAL,,CENTRAL,54872,25637,29233,14097,14081,16,2.4,22806
KENYA,NAIROBI CITY,STAREHE,CENTRAL,KARIOKOR,KARIOKOR,18834,9014,9818,4701,4688,13,1.5,12918
KENYA,NAIROBI CITY,STAREHE,CENTRAL,KARIOKOR,RACECOURSE,10417,4765,5650,1809,1801,8,0.7,14059
KENYA,NAIROBI CITY,STAREHE,CENTRAL,KARIOKOR,ZIWANI,8417,4249,4168,2892,2887,5,0.7,11739
KENYA,NAIROBI CITY,STAREHE,CENTRAL,PANGANI,PANGANI,36038,16623,19415,9396,9393,3,0.9,38009
KENYA,NAIROBI CITY,STAREHE,CENTRAL,PANGANI,PANGANI,36038,16623,19415,9396,9393,3,0.9,38009
KENYA,NAIROBI CITY,STAREHE,SOUTH B,,SOUTH B,102441,54063,48374,36479,36362,117,12.1,8452
KENYA,NAIROBI CITY,STAREHE,SOUTH B,LANDMAWE,LANDMAWE,36907,22115,14791,13269,13256,13,6.2,5993
KENYA,NAIROBI CITY,STAREHE,SOUTH B,LANDMAWE,LANDMAWE,36907,22115,14791,13269,13256,13,6.2,5993
KENYA,NAIROBI CITY,STAREHE,SOUTH B,MUKURU NYAYO,MUKURU NYAYO,65534,31948,33583,23210,23106,104,6,10992
KENYA,NAIROBI CITY,STAREHE,SOUTH B,MUKURU NYAYO,HAZINA,31318,14943,16372,10855,10848,7,4.4,7155
KENYA,NAIROBI CITY,STAREHE,SOUTH B,MUKURU NYAYO,SOUTH B,34216,17005,17211,12355,12258,97,1.6,21585
KENYA,NAIROBI CITY,WESTLANDS,,,WESTLANDS,308854,153818,155021,104980,103489,1491,97.5,3167
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,,HIGHRIDGE,75515,38906,36607,24586,24370,216,47.2,1601
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,HIGHRIDGE,HIGHRIDGE,61874,31967,29905,20077,20077,-,42,1472
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,HIGHRIDGE,HIGHRIDGE,29435,15036,14399,9096,9096,-,3.7,7877
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,HIGHRIDGE,KARURA,24714,13034,11678,8512,8512,-,23.9,1035
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,HIGHRIDGE,MUTHAIGA,7725,3897,3828,2469,2469,-,14.4,536
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,PARKLANDS,PARKLANDS,13641,6939,6702,4509,4293,216,5.1,2666
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,PARKLANDS,SPRING VALLEY,6804,3421,3383,2345,2130,215,2.8,2432
KENYA,NAIROBI CITY,WESTLANDS,HIGHRIDGE,PARKLANDS,UPPER PARKLANDS,6837,3518,3319,2164,2163,1,2.3,2949
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,PARKLANDS,KANGEMI,150369,76695,73666,54671,54618,53,25.2,5957
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KANGEMI,KANGEMI,116710,59520,57186,42897,42897,-,4.6,25324
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KANGEMI,GICHAGI,31585,16215,15368,11472,11472,-,0.9,33401
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KANGEMI,KANGEMI CENTRAL,62831,32208,30623,23606,23606,-,1.6,39526
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KANGEMI,MT VIEW,22294,11097,11195,7819,7819,-,2.1,10752
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KITISURU,KITISURU,33659,17175,16480,11774,11721,53,20.6,1631
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KITISURU,KITISURU,6597,3551,3046,1981,1939,42,8.5,775
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KITISURU,KYUNA,6026,3192,2834,2207,2207,-,3,1980
KENYA,NAIROBI CITY,WESTLANDS,KANGEMI,KITISURU,LORESHO,21036,10432,10600,7586,7575,11,9.1,2316
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KITISURU,KILIMANI,82970,38217,44748,25723,24501,1222,25.1,3302
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILELESHWA,KILELESHWA,32513,14608,17903,10392,10250,142,9.1,3570
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILELESHWA,KILELESHWA,22216,9761,12453,6864,6864,-,5.3,4229
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILELESHWA,MUTHANGARI,10297,4847,5450,3528,3386,142,3.9,2672
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILIMANI,KILIMANI,50457,23609,26845,15331,14251,1080,16,3149
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILIMANI,KILIMANI,27326,13160,14164,8777,7807,970,9,3047
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILIMANI,MAZIWA,23131,10449,12681,6554,6444,110,7.1,3280
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILIMANI,KILIMANI,27326,13160,,14164,8777,7807,9,3047
KENYA,NAIROBI CITY,WESTLANDS,KILIMANI,KILIMANI,MAZIWA,23131,10449,,12681,6554,6444,7.1,3280
