WKT,osm_id,amenity,name,watsan:type
POINT (36.87192629745676 -1.31075501609651),1446059290,school,Ministaration junior school,
POINT (36.872259482595645 -1.310760853617975),5704419901,school,briliant academy,
POINT (36.873343120322872 -1.31187824478156),1999709934,kindergarten,ebenezer kindergarten,
POINT (36.875141547521679 -1.311766254225291),1999709958,school,prolabora education centre,
POINT (36.874189692646631 -1.310953222394253),949597654,school,Flama Junior Academy,
POINT (36.874573003778366 -1.310618956938763),949597387,school,Star Of Hope Primary School,
POINT (36.873853453235782 -1.310083611230518),1446059267,college,Futuretech computer institute,
POINT (36.876009320086141 -1.311353945726728),5704643042,school,Flama education centre,
POINT (36.87576677495943 -1.311134544770699),1446059177,school,Flama Junior Academy,
POINT (36.876301721711123 -1.311279405084809),1446059289,school,Bridge academy,
POINT (36.880278114316283 -1.31138403140688),878846630,school,Galaxy Secondary School/ Black Spot,
POINT (36.880249727553306 -1.311352598606711),1999709935,school,galaxy secondary school,
POINT (36.877994507032518 -1.309671302454915),949598174,school,Baptist Primary School,
POINT (36.877937014854332 -1.30940645846809),1446059238,school,Baptist Primary School,
POINT (36.878504480619313 -1.309508300818321),949598184,school,All Jamaica Junior Academy,
POINT (36.880379444280329 -1.309198283351295),949597540,school,Cana Pri Sch,
POINT (36.886482508489109 -1.300097295834978),949597858,school,Humble Hearts School For The Physically Disabled,
