WKT,osm_id,access,amenity,name,operator,watsan:cost,watsan:location,watsan:type,opening_hours
POINT (36.84405903020739 -1.310048226859939),1499927331,,toilets,,,,,,
POINT (36.835762369906327 -1.306739157346825),1499927301,,toilets,,Puplic toilet,,,,
POINT (36.835669304442888 -1.30652451582025),1499927300,,toilets,,Puplic toilet,,,,
POINT (36.835754554563351 -1.306373099234404),2318127025,,toilets,Emma,,ksh 3,plot,,24/7
POINT (36.835482993852963 -1.306301881347159),1499927298,,toilets,,Puplic toilet,,,,
POINT (36.835900081639373 -1.307370508676392),1499927303,,toilets,,Puplic toilet,,,,
POINT (36.836016862626316 -1.307250075952815),2318127073,,toilets,plot-toilet,,free,,,24/7
POINT (36.839167613653835 -1.307306655085417),2297921297,,toilets,Samson,,,,private_toilet,
POINT (36.839452559261957 -1.307071088307455),2297921364,,toilets,Toilet,unkown,,,,
POINT (36.839997656976358 -1.306884197531175),2297921254,,toilets,mukuru_fuata_nyayo_associan,,,,public_toilet,
POINT (36.840990564859894 -1.306856716233733),2297921318,,toilets,Seventh_day_adventist,,,,private_toilet,
POINT (36.840209300057296 -1.306329183034315),2297921307,,toilets,Samwel,,,,private_toilet,
POINT (36.840601774004931 -1.306452938704594),2296702887,,toilets,calvery_educational_centre,,,,private_toilet,
POINT (36.841362826713635 -1.307024747299358),2296746201,,toilets,Anglican church,,,,private_toilet,
POINT (36.841346926533106 -1.306925329668613),2296746202,,toilets,Christopher,,,,,
POINT (36.851852544117826 -1.316482336554238),2318160786,,toilets,Toilet,,none,,,24/7
POINT (36.851909587138373 -1.316456920942013),2318160783,,toilets,Toilet,,none,,,24/7
POINT (36.851959263973576 -1.316438240915891),2318160785,,toilets,Toilet,,none,,,24/7
POINT (36.852002922096389 -1.316382560067984),2318160782,,toilets,Toilet,,none,,,24/7
POINT (36.852109013131447 -1.316360108112833),2318160779,,toilets,Toilet,,none,,,24/7
POINT (36.852204863372258 -1.316364508696052),2318160780,,toilets,Toilet,,none,,,24/7
POINT (36.85225310290302 -1.316320233439976),2318160778,,toilets,Toilet,,none,,,24/7
POINT (36.852294874563725 -1.316208422698516),2318160777,,toilets,Toilet,,none,,,24/7
POINT (36.852390275646904 -1.31617636130427),2318160776,,toilets,Toilet,,none,,,24/7
POINT (36.85250076842685 -1.31615417877075),2318160774,,toilets,Toilet,,none,,,24/7
POINT (36.852542270592977 -1.316105862158568),2318160773,,toilets,Toilet,,none,,,24/7
POINT (36.852585030400505 -1.31607433960999),2318160771,,toilets,Toilet,,none,,,24/7
POINT (36.852841499414119 -1.315688614944693),1500016859,,toilets,,toilet,,,,
POINT (36.848911010719974 -1.315307021381279),2318157368,,toilets,toilet,,,,,
POINT (36.848907058132731 -1.315293550202394),2318157348,,toilets,chief's_camp,,,,,24/7
