WKT,osm_id,amenity,denomination,name,religion
POINT (36.87452018283966 -1.318080735561752),1432507930,place_of_worship,evangelical,Huduma prophetic church,christian
POINT (36.874487484163318 -1.316927334245846),949597718,place_of_worship,protestant,Deliverance Church,christian
POINT (36.874466283922608 -1.316908474607644),1432507896,place_of_worship,baptist,Deliverance Church,christian
POINT (36.875570223575266 -1.316441294381702),1432508034,place_of_worship,baptist,Oasis church of God,christian
POINT (36.87489226503034 -1.315998811222707),1432507911,place_of_worship,baptist,Full inependent concregations church,christian
POINT (36.876422365453784 -1.317885852717081),1437347760,place_of_worship,baptist,African inland church,christian
POINT (36.876390295598142 -1.315339980865277),1432507989,place_of_worship,baptist,Living Light Church,christian
POINT (36.876390295598142 -1.313754243017434),1432507997,place_of_worship,baptist,Living vine christ ministries,christian
POINT (36.870753097695705 -1.311604150804971),1446059202,place_of_worship,baptist,Baptist church,christian
POINT (36.87074312639605 -1.311584662470634),949597298,place_of_worship,protestant,Aic Lunga Lunga Church,christian
POINT (36.870716715926697 -1.311182681862999),949597975,place_of_worship,,Lunga Lunga Mosque,muslim
POINT (36.870731987286526 -1.311216808905466),1999653270,place_of_worship,,Mosque,muslim
POINT (36.872790027602441 -1.311435850622284),1999709959,place_of_worship,pentecostal,royal christain ministries lungalunga,christian
POINT (36.872831978926207 -1.310924394021156),1446059276,place_of_worship,protestant,Pcea neema church,christian
POINT (36.872955317614718 -1.310908677618241),949597721,place_of_worship,protestant,Pcea Church,christian
POINT (36.87445442616086 -1.311320806574149),949597639,place_of_worship,pentecostal,P.A.G Church,christian
POINT (36.877626646923673 -1.312839279814132),1432507869,place_of_worship,baptist,ACK diamond church,christian
POINT (36.875712696379324 -1.310111451724794),1446059278,place_of_worship,evangelical,A.I.C church,christian
POINT (36.881202570575162 -1.309011392733445),5704456203,place_of_worship,,catholic,christian
