WKT,osm_id,amenity,name,operator,operational_status,watsan:availability,watsan:type,watsan:water_public,opening_hours
POINT (36.836900715034361 -1.308498947748297),3887292707,drinking_water,,Mama Rehema,,never,piped_tap,,
POINT (36.83647257796995 -1.308391447446317),3887566859,drinking_water,,Kiambata,,always,piped_tap,,
POINT (36.836616308415408 -1.308113401531138),3887564255,drinking_water,,Dedan Kariuki,,always,piped_tap,,
POINT (36.83663795781375 -1.308066880926035),3887292701,drinking_water,,Mama Njoki,,always,piped_tap,,
POINT (36.836977251496563 -1.308371689662664),3887292705,drinking_water,,Veronicah,,always,piped_tap,,
POINT (36.836970154805819 -1.308213807004076),3887292703,drinking_water,,Mutinda,,often,piped_tap,,
POINT (36.836124121471236 -1.307894090099555),3887564253,drinking_water,,Mercy Wawira,,often,piped_tap,,
POINT (36.836127265574731 -1.307888611803931),3887564252,drinking_water,,Nelson Kamau,,often,water_tank,,
POINT (36.836607954083263 -1.307933875098593),3887292698,drinking_water,,Mama Moraa,,never,piped_tap,,
POINT (36.836648468102574 -1.30787217691697),3887292696,drinking_water,,Peter Wanga,,always,piped_tap,,
POINT (36.836917064372528 -1.307883941781422),3887292697,drinking_water,,Mama ken,,often,piped_tap,,
POINT (36.845320085203241 -1.312926303713902),3729558865,drinking_water,,Ericko,,always,water_tank,,
POINT (36.845994719981611 -1.313158906279427),3729525760,drinking_water,,Mama kadede,,often,piped_tap,,
POINT (36.84644324880297 -1.312913101946026),2298028767,drinking_water,Lydya Obiri,,,,private_water_point,,06:00-22:00
POINT (36.847057606625782 -1.31377507845357),3881538520,drinking_water,,Baba mwangi,,always,water_tank,,
POINT (36.846919625398144 -1.313571034864559),3881538511,drinking_water,,Poa poa pub,,often,piped_tap,,
POINT (36.847087790019323 -1.313576692763612),3881538512,drinking_water,,Baba njeri,,never,water_tank,,
POINT (36.847670257649554 -1.314088687669688),3885769518,drinking_water,,Cameraman,,often,piped_tap,,
POINT (36.847510177865921 -1.314015224804155),3881505615,drinking_water,,,,always,piped_tap,,
POINT (36.847471550308704 -1.313981636647316),3881505614,drinking_water,,,,never,piped_tap,,
POINT (36.847521316975445 -1.313929458253017),3885769503,drinking_water,,Baba Kihara,,often,piped_tap,,
POINT (36.847585816012845 -1.313923890162688),3885769499,drinking_water,,Baba Kihara,,always,piped_tap,,
POINT (36.847679869623093 -1.313954514659375),3885769506,drinking_water,,Boi,,often,piped_tap,,
POINT (36.847914419743773 -1.31392891940558),3885769502,drinking_water,,Baba Eliza,,often,piped_tap,,
POINT (36.848027966795691 -1.313928560173939),3885769501,drinking_water,,Sarah Kemunto,,often,piped_tap,,
POINT (36.847555363124719 -1.313807948149887),3881505612,drinking_water,,Chege,,always,piped_tap,,
POINT (36.847631899586922 -1.313849888444846),3881505613,drinking_water,,Wakamba Traditional Dancers,,always,water_tank,,
POINT (36.8477807504295 -1.31373762855315),3881535966,drinking_water,,Okindo,,always,piped_tap,,
POINT (36.848056802716314 -1.313893535089376),3885769496,drinking_water,,Paul,,often,piped_tap,,
POINT (36.847142677083191 -1.313546786725666),3881538510,drinking_water,,Baba njeri,,often,piped_tap,,
POINT (36.847963467758291 -1.313165103027024),2024563625,drinking_water,,,operational,,piped_tap,yes,
POINT (36.84790687389539 -1.313041617112029),2024563456,drinking_water,Community health workers water tank,,operational,,water_tank,yes,
POINT (36.841806594463989 -1.311844836211968),1499927394,drinking_water,,,,,water_tank,,
POINT (36.841987515162216 -1.311748741667921),1499927395,drinking_water,,,,,water_tank,,
POINT (36.840025864076281 -1.311172802982196),1499927381,drinking_water,,,,,water_tank,,
POINT (36.840136177193173 -1.311189686887539),1500016780,drinking_water,,,,,,,
POINT (36.840401449696571 -1.311172802982196),1499927386,drinking_water,,,,,water_tank,,
POINT (36.841021916063312 -1.31141743998263),1500016784,drinking_water,,,,,,,
POINT (36.841004488746798 -1.311350712638697),1499927390,drinking_water,,,,,water_tank,,
POINT (36.840026762391567 -1.310306784216247),3881491770,drinking_water,,mama martin,,always,piped_tap,,
POINT (36.839946453005162 -1.310184106432603),1500016762,drinking_water,,,,,,,
POINT (36.840031343799517 -1.310138124714186),3881491768,drinking_water,,mama kelvin,,always,piped_tap,,
POINT (36.84030272484685 -1.31031316058698),1499927379,drinking_water,,,,,water_tank,,
POINT (36.840429387301903 -1.310258287874953),3881491769,drinking_water,,bernad,,often,piped_tap,,
POINT (36.840988678397807 -1.310326631792683),3881518558,drinking_water,,Mama Freddy,,,piped_tap,,
POINT (36.841236523584683 -1.310274183898053),3881537668,drinking_water,,Esther Kemunto,,,piped_tap,,
POINT (36.841321594042093 -1.311450489325924),1500016786,drinking_water,,,,,,,
POINT (36.841359952104725 -1.311350083982688),1499927392,drinking_water,,,,,water_tank,,
POINT (36.842163944284017 -1.311396963758823),3881495599,drinking_water,,Millicent,,often,piped_tap,,
POINT (36.842153883152832 -1.311349904366677),3881495598,drinking_water,,Juma Mwinyi,,often,piped_tap,,
POINT (36.842263747112078 -1.311371458286858),3881497481,drinking_water,,Baba Fredy,,often,water_tank,,
POINT (36.842145977978333 -1.311248780555375),3881495595,drinking_water,,Basweti Peter,,often,piped_tap,,
POINT (36.842282971059156 -1.311255875387737),3881495596,drinking_water,,Michael,,often,piped_tap,,
POINT (36.842378192479273 -1.31126602369222),3881495597,drinking_water,,Onyambu,,often,piped_tap,,
POINT (36.842353309145906 -1.311172174326137),2024563636,drinking_water,,,non-operational,,water_tank,yes,
POINT (36.842482846209876 -1.311245996507227),3881495594,drinking_water,,Mama Fred,,often,piped_tap,,
POINT (36.842540607882647 -1.311273657372566),1499927365,drinking_water,,,,,,,
POINT (36.842647597232983 -1.311303922669684),3881497480,drinking_water,,Peter Wanga,,always,piped_tap,,
POINT (36.84256755734117 -1.311112541808447),3854348157,drinking_water,Water tap,,operational,,piped_tap,yes,
POINT (36.842633942840671 -1.311102752735376),3881495593,drinking_water,,Njuguna,,often,piped_tap,,
POINT (36.842363909266254 -1.310832879650781),3881472439,drinking_water,,Omweri,,often,piped_tap,,
POINT (36.842593159326768 -1.310931578662459),2024563610,drinking_water,,,operational,,piped_tap,yes,
POINT (36.841864445968291 -1.310668800393458),1499927380,drinking_water,,,,,,,
POINT (36.841589471659816 -1.310282895277878),3881535962,drinking_water,,Richard,,,water_tank,,
POINT (36.841644089229092 -1.31025460574531),3881545457,drinking_water,,Richard,,,piped_tap,,
POINT (36.842205715944722 -1.310612849992906),3881577691,drinking_water,,,,never,piped_tap,,
POINT (36.842456795066632 -1.310777917142128),3881495590,drinking_water,,Mike,,often,piped_tap,,
POINT (36.842402985981117 -1.310693317984313),3881472438,drinking_water,,Mama vicky,,often,piped_tap,,
POINT (36.842448979723663 -1.310619944827074),3881472437,drinking_water,,Mama Zilipa,,always,piped_tap,,
POINT (36.842409004693522 -1.310473288314173),3881577690,drinking_water,,Mukuru wash project,,often,piped_tap,,
POINT (36.842133671058939 -1.310327529873072),3881577688,drinking_water,,Kwa steve,,often,piped_tap,,
POINT (36.842195744645075 -1.310206109403023),2024563608,drinking_water,,Caro,,often,piped_tap,yes,
POINT (36.842311986642841 -1.310435389324139),1483304334,drinking_water,,,,,water_tank,,
POINT (36.842386007822249 -1.310421020038671),3881577689,drinking_water,,Mukuru wash project,,always,water_tank,,
POINT (36.842400111372207 -1.310363902128108),3881472436,drinking_water,,,,never,piped_tap,,
POINT (36.837530164553939 -1.309095004059168),3887340816,drinking_water,,John Kasenge,,always,water_tank,,
POINT (36.837184043674966 -1.30895912442746),3887566867,drinking_water,,Paul Murungi,,often,piped_tap,,
POINT (36.837387961244467 -1.308766126841425),3887566863,drinking_water,,Joel,,often,piped_tap,,
POINT (36.837543908777789 -1.309087011139852),3887340814,drinking_water,,John Kasenge,,always,piped_tap,,
POINT (36.837645328573366 -1.309004208086646),3887340811,drinking_water,,kileli,,always,piped_tap,,
POINT (36.837808103302848 -1.308776993620742),3887340808,drinking_water,,wangare,,always,water_tank,,
POINT (36.838248996444293 -1.309091950584376),3887340815,drinking_water,,akamba dancers group,,often,piped_tap,,
POINT (36.838001151257401 -1.308982474529919),3887340810,drinking_water,,Mama Risper,,often,piped_tap,,
POINT (36.838022890487281 -1.309006004248352),3887340812,drinking_water,,Mama Risper,,often,water_tank,,
POINT (36.838142995240766 -1.309028905309961),3887340813,drinking_water,,Mama Victoria,,always,piped_tap,,
POINT (36.838350506071393 -1.308811300312172),2024563632,drinking_water,,,operational,,water_tank,yes,
POINT (36.838461897166631 -1.308748793879266),3887564383,drinking_water,,Mama Cythia,,often,water_tank,,
POINT (36.838603741149988 -1.309258993611478),3887564387,drinking_water,,John,,often,piped_tap,,
POINT (36.838555771113818 -1.309186518493027),3887564386,drinking_water,,Jonson,,often,piped_tap,,
POINT (36.839047958057989 -1.309314944042259),3887564388,drinking_water,,Mama Betty,,always,piped_tap,,
POINT (36.839097185735561 -1.309227920016946),3885749884,drinking_water,,Sara,,never,piped_tap,,
POINT (36.839215404026945 -1.309202234906743),3894805961,drinking_water,,Sarah mwikali,,never,piped_tap,,
POINT (36.839000706674042 -1.308825489990687),3887564384,drinking_water,,Stela Nyaboke,,often,piped_tap,,
POINT (36.839433964135573 -1.309109014119916),3885749883,drinking_water,,Judy,,often,piped_tap,,
POINT (36.83985976558025 -1.309320422334778),3881484872,drinking_water,,,,never,piped_tap,,
POINT (36.839675790610059 -1.30918741657381),3894885249,drinking_water,,Kwa Mariam,,often,piped_tap,,
POINT (36.839886265881127 -1.309207803007581),3881484870,drinking_water,,Josphine,,always,piped_tap,,
POINT (36.839237322919878 -1.3089130528785),3887564385,drinking_water,,Mama Ciro,,often,piped_tap,,
POINT (36.839559368949239 -1.308897516079128),3894885248,drinking_water,,Mama Caleb,,often,piped_tap,,
POINT (36.83984656034557 -1.309015613713438),1483304328,drinking_water,,,,,water_tank,,
POINT (36.839563770694127 -1.308898953008569),3885749882,drinking_water,,Baba Caleb,,often,piped_tap,,
POINT (36.837265880197357 -1.308707841387901),3887566862,drinking_water,,Josphat Musomba,,often,piped_tap,,
POINT (36.837822027189745 -1.308740621342679),3887340807,drinking_water,,wangare,,always,piped_tap,,
POINT (36.83769796984901 -1.308456378706963),3887566860,drinking_water,,Kirieri,,often,piped_tap,,
POINT (36.837238481581188 -1.30822862534276),3887292704,drinking_water,,veronicah,,always,piped_tap,,
POINT (36.837263993735256 -1.308189918045758),3887292702,drinking_water,,veronicah,,often,piped_tap,,
POINT (36.837606790847673 -1.308322205394752),3887566858,drinking_water,,Esther Mwangi,,often,piped_tap,,
POINT (36.837881944819195 -1.308455929666432),3887340805,drinking_water,,Mama Mungai,,often,piped_tap,,
POINT (36.838459920873007 -1.308745920020256),3887564382,drinking_water,,Kizito,,always,piped_tap,,
POINT (36.838222765638001 -1.308548881053242),3887340806,drinking_water,,kizito,,often,piped_tap,,
POINT (36.838462525987325 -1.30857384770534),3893000961,drinking_water,,,,often,piped_tap,,
POINT (36.837903145059911 -1.308343489916646),3887340804,drinking_water,,wangare,,always,piped_tap,,
POINT (36.837900360282525 -1.308325258870473),3887340802,drinking_water,,wangare,,always,water_tank,,
POINT (36.837884549933527 -1.308227637453519),3887340801,drinking_water,,Mzee ni wewe,,always,borehole,,
POINT (36.837885268585751 -1.308211741417443),3887340798,drinking_water,,Mzee ni wewe,,always,piped_tap,,
POINT (36.837887424542437 -1.308193779794669),3887340796,drinking_water,,Mzee ni wewe,,always,borehole,,
POINT (36.837911948549696 -1.308224404361443),3887340800,drinking_water,,Mzee ni wewe,,always,piped_tap,,
POINT (36.837907187478685 -1.308196384229973),3887340797,drinking_water,,Mzee ni wewe,,always,water_tank,,
POINT (36.838374580921013 -1.30834492684638),3893006859,drinking_water,,Nyarandi Mutoka,,often,piped_tap,,
POINT (36.838447164795973 -1.308309991491804),1499927351,drinking_water,water point,,,,,,
POINT (36.838356345120744 -1.308169531603705),3887564372,drinking_water,,Mama Mercy,,often,piped_tap,,
POINT (36.837555047887307 -1.307961805424863),3887292700,drinking_water,,community (mariguini),,always,piped_tap,,
POINT (36.837560886936657 -1.307948962863311),3887292699,drinking_water,,C.H.W(community health workers),,always,piped_tap,,
POINT (36.837802174421974 -1.307903250528283),1499927348,drinking_water,water point,,,,,,
POINT (36.837720068405005 -1.307769975267784),3887564251,drinking_water,,Kwa Mutish,,often,piped_tap,,
POINT (36.837919763892664 -1.307966475447245),3887340795,drinking_water,,Mama Eric,,often,piped_tap,,
POINT (36.837953001558176 -1.307889779309552),3887340794,drinking_water,,Mama Ruth,,often,piped_tap,,
POINT (36.837933418284983 -1.307761443495473),3887340793,drinking_water,,veronicah,,often,piped_tap,,
POINT (36.838407189765825 -1.308032843648795),3887564369,drinking_water,,Mama Kim,,often,piped_tap,,
POINT (36.838696447287319 -1.308546546042598),3887564378,drinking_water,,Judith Odhiambo,,often,piped_tap,,
POINT (36.838797058599134 -1.308408061946096),3887564374,drinking_water,,Vincent Agunda,,often,piped_tap,,
POINT (36.839050114014668 -1.308720683945573),3887564381,drinking_water,,Samuel,,often,piped_tap,,
POINT (36.839059995482792 -1.308461946809467),3887564376,drinking_water,,Mzee Buyu,,often,piped_tap,,
POINT (36.838883296866413 -1.308299753367236),3893000960,drinking_water,,Josephat Musau,,often,piped_tap,,
POINT (36.839136981102648 -1.308396476700315),1499927352,drinking_water,water point,,,,,,
POINT (36.838959743497092 -1.308117083663949),3887564371,drinking_water,,Abdinur Wario,,often,piped_tap,,
POINT (36.839209744640655 -1.308075412697317),3887564370,drinking_water,,^Möses,,often,piped_tap,,
POINT (36.839272716542077 -1.308676139129867),3887564380,drinking_water,,Hellen Gwayi,,often,piped_tap,,
POINT (36.839292030320685 -1.3086659010068),3887564379,drinking_water,,Hellen Gwayi,,often,piped_tap,,
POINT (36.839296791391682 -1.308469131457818),3887564377,drinking_water,,Mama Anna,,often,piped_tap,,
POINT (36.839886176049603 -1.308701824245477),3894885247,drinking_water,,Kwa Emma,,often,piped_tap,,
POINT (36.839636174906033 -1.30840743328935),1483304326,drinking_water,,,,,water_tank,,
POINT (36.839266607998141 -1.308215333742),3887564373,drinking_water,,Mama Aunty,,often,piped_tap,,
POINT (36.839722592836367 -1.308297777588806),3894885244,drinking_water,,Mama Moraa,,often,piped_tap,,
POINT (36.839779186699261 -1.308351931878859),3894885245,drinking_water,,Kwa Nyaga,,often,piped_tap,,
POINT (36.838768312510041 -1.307961805424863),3887564367,drinking_water,,Pamaela Anyango,,often,piped_tap,,
POINT (36.838576252702296 -1.307806616984323),3887564363,drinking_water,,Mama Bony,,often,piped_tap,,
POINT (36.838535559019931 -1.307759288100369),3887564362,drinking_water,,John (Muembu),,often,piped_tap,,
POINT (36.838739027431778 -1.307879900415773),3887564366,drinking_water,,John (Muembu),,often,piped_tap,,
POINT (36.838777295662887 -1.307844246589709),3893006858,drinking_water,,,,often,piped_tap,,
POINT (36.839022086577806 -1.307861130517481),3887564364,drinking_water,,Susan Musinde,,often,piped_tap,,
POINT (36.8392180989728 -1.307869662289449),3887564365,drinking_water,,Risper Mugere,,often,piped_tap,,
POINT (36.83890296997113 -1.307650261028431),1499927347,drinking_water,,,operational,,,,
POINT (36.839203546265196 -1.307472979766268),3885749878,drinking_water,,,,never,piped_tap,,
POINT (36.839168961126759 -1.307456634684736),3885749877,drinking_water,,Paulo,,always,water_tank,,
POINT (36.839174710344572 -1.307443253271741),3858871563,drinking_water,,Kwa Paulo,,always,water_tank,,
POINT (36.839222860043805 -1.307987041507179),3887564368,drinking_water,,Mama Kurei,,often,piped_tap,,
POINT (36.839230855049834 -1.307831224411293),3894806157,drinking_water,,,,always,piped_tap,,
POINT (36.839244868768269 -1.307828619975595),3885749880,drinking_water,,,,always,piped_tap,,
POINT (36.839236065278484 -1.307737015684082),3885749879,drinking_water,,Paul,,often,piped_tap,,
POINT (36.839614615339208 -1.30801012219433),1483304337,drinking_water,,,,,water_tank,,
POINT (36.839701123101072 -1.307968810458411),3894805960,drinking_water,,Patrick Nyamae,,always,piped_tap,,
POINT (36.839738313353841 -1.308018384541435),3894885242,drinking_water,,Kwa Mama Frida,,often,piped_tap,,
POINT (36.839233370332629 -1.30770540322191),3856043057,drinking_water,,Kwa Paulo,,always,piped_tap,,
POINT (36.839509242956389 -1.307631850360966),3894805958,drinking_water,,Steve,,always,piped_tap,,
POINT (36.839402343437577 -1.307534228917029),3692644337,drinking_water,,,,always,piped_tap,,
POINT (36.8394207589009 -1.307415502555987),3885749876,drinking_water,,Mama Judy,,often,piped_tap,,
POINT (36.839587665880686 -1.307674329608142),3894805959,drinking_water,,Achoki,,always,piped_tap,,
POINT (36.839774156133672 -1.307376885054593),3894885237,drinking_water,,Kwa Mama Wangari,,often,piped_tap,,
POINT (36.8401678877227 -1.309965693262638),3881491764,drinking_water,,mama brayo,,always,piped_tap,,
POINT (36.840355545785549 -1.3100162551947),3881491766,drinking_water,,mama dick,,often,piped_tap,,
POINT (36.840263198974341 -1.309778802702012),3881537665,drinking_water,,Baba Diana,,often,piped_tap,,
POINT (36.840553714137229 -1.309846248552266),3881491763,drinking_water,,,,often,piped_tap,,
POINT (36.840276404209028 -1.309767217462566),3881491761,drinking_water,,Yaya,,always,piped_tap,,
POINT (36.840309462211479 -1.30966384838581),3881491760,drinking_water,,baba caro,,always,piped_tap,,
POINT (36.840492808360963 -1.309679205564298),4121007502,drinking_water,,,,,,,
POINT (36.840471787783315 -1.309607987770879),3881491758,drinking_water,,madevu,,always,piped_tap,,
POINT (36.840485981164804 -1.309618944354621),3881491759,drinking_water,,madevu,,always,water_tank,,
POINT (36.840613362272094 -1.310064751540689),3881491767,drinking_water,,mama ezra,,always,piped_tap,,
POINT (36.840622974245633 -1.310001706290739),3881491765,drinking_water,,austin,,often,piped_tap,,
POINT (36.840692054690983 -1.309844093158944),3881491762,drinking_water,,mama fai,,often,piped_tap,,
POINT (36.840956159384518 -1.30982559269951),1483304330,drinking_water,water point,,,,piped_tap,,
POINT (36.841209484294637 -1.309920609620742),1483304339,drinking_water,,,,,water_tank,,
POINT (36.840620099636723 -1.309704262013212),3881484876,drinking_water,,,,always,piped_tap,,
POINT (36.840711098975014 -1.309758326464821),3881484877,drinking_water,,,,often,piped_tap,,
POINT (36.840603660467032 -1.309446153635071),3881484875,drinking_water,,Langat,,never,piped_tap,,
POINT (36.841035660287162 -1.309748896618686),3881535960,drinking_water,,Mama Michelle,,,piped_tap,,
POINT (36.841098991514684 -1.309739017732235),3881544958,drinking_water,,Mama Alice,,often,piped_tap,,
POINT (36.840070510345903 -1.309363709826011),3881484873,drinking_water,,Martin,,often,piped_tap,,
POINT (36.839921030682625 -1.309324822930389),4690777449,drinking_water,,Robert,,often,piped_tap,,
POINT (36.84018908796341 -1.309415618891283),3881484874,drinking_water,,Veronica,,always,piped_tap,,
POINT (36.840303712993659 -1.309247318561565),1483304329,drinking_water,,,,,water_tank,,
POINT (36.840472326772492 -1.309243546622332),2024563605,drinking_water,,,non-operational,,piped_tap,yes,
POINT (36.840671752765566 -1.309341976272414),3881472433,drinking_water,,Albert Kirimi,,always,water_tank,,
POINT (36.840673729059183 -1.309325451586907),3881472432,drinking_water,,Albert Kirimi,,never,water_tank,,
POINT (36.840593329841255 -1.308981576449072),3881472431,drinking_water,,Brine School,,often,water_tank,,
POINT (36.841114622200635 -1.309038784199224),2024563633,drinking_water,,,operational,,water_tank,yes,
POINT (36.841413312032607 -1.309943061633741),1483304331,drinking_water,,,,always,piped_tap,,
POINT (36.841510869072458 -1.309841758149509),3881535961,drinking_water,,Sofera,,,piped_tap,,
POINT (36.841728710528862 -1.309985361225683),1483304332,drinking_water,,,,,water_tank,,
POINT (36.841857708603662 -1.310053884766931),3881577687,drinking_water,,,,never,water_tank,,
POINT (36.841824650601204 -1.309982577176123),2024563607,drinking_water,,,operational,,piped_tap,yes,
POINT (36.841886275029694 -1.309999999937809),3881472434,drinking_water,,Edith,,often,water_tank,,
POINT (36.841347016364637 -1.309708482992035),2024563634,drinking_water,,,operational,,water_tank,yes,
POINT (36.841377469252762 -1.309695191399112),2024563606,drinking_water,,,operational,,piped_tap,yes,
POINT (36.842042671720662 -1.310080737373022),3881472435,drinking_water,,,,never,piped_tap,,
POINT (36.840369379840929 -1.308500743910372),3881537664,drinking_water,,Kwa mama Chris,,often,piped_tap,,
POINT (36.839976187241071 -1.308364954054565),3894885246,drinking_water,,Kwa Gladys,,often,piped_tap,,
POINT (36.840033589587726 -1.308154803072791),3894885243,drinking_water,,Mama Debora,,often,piped_tap,,
POINT (36.840231398613284 -1.308211022952544),3881577686,drinking_water,,Kwa Mzee Mangaa,,often,piped_tap,,
POINT (36.840691875027929 -1.30873370611937),3881472430,drinking_water,,Geoffrey,,always,water_tank,,
POINT (36.840721070274661 -1.308517538025616),3881491757,drinking_water,,kwa rose,,often,piped_tap,,
POINT (36.840722777073701 -1.308505324123622),3881491656,drinking_water,,Nyaega Dismark,,often,piped_tap,,
POINT (36.84067301040696 -1.308285114645187),3881491655,drinking_water,,kennedy,,often,piped_tap,,
POINT (36.840871897410864 -1.308251885643911),3881491654,drinking_water,,,,often,piped_tap,,
POINT (36.841031348373797 -1.308351662454543),3881472429,drinking_water,,Nyamu,,often,piped_tap,,
POINT (36.84103314500436 -1.30815103113193),1499927349,drinking_water,water point,,,,,,
POINT (36.839948519130317 -1.308015061640978),3894885241,drinking_water,,Mama Mum,,often,piped_tap,,
POINT (36.840066108601015 -1.307965577366004),3894885240,drinking_water,,Mama Samuel,,often,piped_tap,,
POINT (36.840070061188257 -1.307914117311341),3885782152,drinking_water,,Mama Samueli,,often,piped_tap,,
POINT (36.839993075568408 -1.307733962207636),3894885239,drinking_water,,Mama Victor,,often,water_tank,,
POINT (36.840588928096366 -1.307935312028582),3881535959,drinking_water,,Sylvia,,often,piped_tap,,
POINT (36.840583807699247 -1.307816406070256),3881537662,drinking_water,,Nyagoka,,often,piped_tap,,
POINT (36.839907466121836 -1.307714294226945),1483304336,drinking_water,,,,,water_tank,,
POINT (36.839976816061771 -1.307491031202346),3894885238,drinking_water,,Kwa Mugire,,often,piped_tap,,
POINT (36.840014724966757 -1.30743993037052),3881577685,drinking_water,,Kwa Mohammed,,always,borehole,,
POINT (36.840365876411319 -1.307667593998172),3881537660,drinking_water,,Village homes (Kwa Mohammed),,often,piped_tap,,
POINT (36.840543024185351 -1.307486540795377),3881537659,drinking_water,,Kwa Baba Kamau,,often,piped_tap,,
POINT (36.840670405292634 -1.307926061791842),3881491653,drinking_water,,Mama Lilian,,often,piped_tap,,
POINT (36.840892109504757 -1.308021438017525),3881537663,drinking_water,,Kwa Mama Auma,,often,piped_tap,,
POINT (36.840978617266622 -1.307908998248249),3881491651,drinking_water,,kwa kina jacob,,often,piped_tap,,
POINT (36.841210741936031 -1.308027904202198),2024563601,drinking_water,Wajiru waterpoint,,non-operational,,piped_tap,yes,
POINT (36.841256017026353 -1.30800105157411),3881472425,drinking_water,,Naum Ochido,,always,piped_tap,,
POINT (36.841152890431736 -1.307909088056375),3881491652,drinking_water,,bright star academy,,often,water_tank,,
POINT (36.840961908602331 -1.307874152695731),3881545057,drinking_water,,Kwa Mama Eugene,,often,piped_tap,,
POINT (36.841091176171716 -1.307759826949142),3881537661,drinking_water,,Kwa Mama Moraa,,always,piped_tap,,
POINT (36.841240027014301 -1.307838678485831),3881472423,drinking_water,,Dinah,,often,piped_tap,,
POINT (36.841252962754389 -1.307657086446591),3881472421,drinking_water,,Ednah,,often,piped_tap,,
POINT (36.841252603428273 -1.307506029161583),1499927346,drinking_water,,Dorris,,always,piped_tap,,
