WKT,osm_id,amenity,name,operator,operational_status,watsan:availability,watsan:type,watsan:water_public,opening_hours
POINT (36.839718550417587 -1.307081146820732),3894805857,drinking_water,,James Mokaya,,always,piped_tap,,
POINT (36.839857879118149 -1.307053396100971),1500016745,drinking_water,,,,,,,
POINT (36.840088925809226 -1.307298482544123),3881577684,drinking_water,,Kwa Mohammed,,always,water_tank,,
POINT (36.839950315760888 -1.306904134942861),3894885236,drinking_water,,Mufya,,often,water_tank,,
POINT (36.840581292416452 -1.307027890584809),3881535958,drinking_water,,South B SDA,,often,piped_tap,,
POINT (36.840350155893844 -1.306836329780866),2024563603,drinking_water,,,operational,,piped_tap,yes,
POINT (36.840602043499516 -1.307347427983365),3881544957,drinking_water,,Kwa Mama Brian,,often,piped_tap,,
POINT (36.840678669793249 -1.307269743937157),3881537658,drinking_water,,Kwa Pastor,,often,piped_tap,,
POINT (36.841249369493248 -1.307289232305043),3881491646,drinking_water,,bright star academy,,always,piped_tap,,
POINT (36.841111747591718 -1.307202208209465),3881491645,drinking_water,,bright star academy,,always,water_tank,,
POINT (36.840988588566269 -1.307162423198824),3881491644,drinking_water,,bright star academy,,always,water_tank,,
POINT (36.840715410888372 -1.306986129791947),1499927344,drinking_water,water point,,,,,,
POINT (36.840915914859785 -1.306838215752276),3881577681,drinking_water,,Salim Mohammed,,often,piped_tap,,
POINT (36.841052907940615 -1.306858063356154),3881577682,drinking_water,,Ruth kwamboka,,often,piped_tap,,
POINT (36.8411828043307 -1.306992416362962),1500016743,drinking_water,,,,,,,
POINT (36.841254310227313 -1.306992955211913),3881491643,drinking_water,,consefy,,often,piped_tap,,
POINT (36.841243979601543 -1.306919941179042),3881491642,drinking_water,,consefy,,never,piped_tap,,
POINT (36.841007004029592 -1.306852495250113),2024563604,drinking_water,,,operational,,piped_tap,yes,
POINT (36.841289793681042 -1.307245226312818),3881472420,drinking_water,,Wycliffe,,often,piped_tap,,
POINT (36.841351418109525 -1.307030045980561),3881472419,drinking_water,,Monicah,,often,water_tank,,
POINT (36.841325816123927 -1.306985501134844),3881577683,drinking_water,,Kanaro,,often,piped_tap,,
POINT (36.851695069448525 -1.31640555086986),3885763824,drinking_water,,Mukua,,often,water_tank,,
POINT (36.851843471133463 -1.316349780213394),3885763823,drinking_water,,Mama Kimani,,often,piped_tap,,
POINT (36.852098502842622 -1.316345649053601),3885763822,drinking_water,,Raphael Mulegi,,often,piped_tap,,
POINT (36.851854700074512 -1.316215427708973),3885763821,drinking_water,,Mama Ondeko,,often,piped_tap,,
POINT (36.852100568967771 -1.316130379696091),3885763820,drinking_water,,Joseph,,often,piped_tap,,
POINT (36.852195341230249 -1.316094815795439),3885763819,drinking_water,,Mama kamam,,often,piped_tap,,
POINT (36.852317242614298 -1.315977796189465),3885763818,drinking_water,,Mukua,,often,piped_tap,,
POINT (36.852526190749387 -1.31587730122031),3885763816,drinking_water,,Mukua,,often,piped_tap,,
POINT (36.852350480279817 -1.315677748195401),3885763813,drinking_water,,Maasai Village Development Group,,always,piped_tap,,
POINT (36.852409050436343 -1.315624581950244),3885763810,drinking_water,,Maasai Village Development Group,,always,water_tank,,
POINT (36.852535982385987 -1.315748516776729),3885763815,drinking_water,,Regina,,always,piped_tap,,
POINT (36.852468249413562 -1.315658798739899),3885763812,drinking_water,,Hamaki Community Health Workers,,never,water_tank,,
POINT (36.852644498872309 -1.315889245662785),3885763817,drinking_water,,Fred,,often,piped_tap,,
POINT (36.852681509462016 -1.315639759476423),3885763811,drinking_water,,Mama Mesheck,,often,piped_tap,,
POINT (36.852660578715891 -1.315623055216836),3885763809,drinking_water,,Mama Baro,,often,piped_tap,,
POINT (36.852851380882242 -1.315741421957114),3885763814,drinking_water,,Madegwa,,often,piped_tap,,
POINT (36.84867358599039 -1.315243347608484),3885711333,drinking_water,,Bramwel,,often,piped_tap,,
POINT (36.848674124979553 -1.315224577765419),3885711332,drinking_water,,Bramwel,,often,water_tank,,
POINT (36.848922059997975 -1.315317888132187),3885711337,drinking_water,,Kwa Chifu,,often,piped_tap,,
POINT (36.849118162224492 -1.315381921134499),3885711339,drinking_water,,Goal Kenya,,often,water_tank,,
POINT (36.84916029321132 -1.315323635835131),3885711338,drinking_water,,Goal Kenya,,often,piped_tap,,
POINT (36.849097411141429 -1.315310074848476),3885711336,drinking_water,,Goal Kenya,,often,water_tank,,
POINT (36.849187422332903 -1.315304416953366),3885711335,drinking_water,,Goal Kenya,,often,piped_tap,,
POINT (36.849014496640706 -1.315253136665333),3885711334,drinking_water,,Goal Kenya,,often,water_tank,,
POINT (36.8491279538611 -1.314738806993134),3885711331,drinking_water,,Kaburia,,often,piped_tap,,
POINT (36.849154184667391 -1.314630049648835),3885711330,drinking_water,,Mama Faith,,often,piped_tap,,
POINT (36.849168467880403 -1.314617117313609),3885769528,drinking_water,,Mama Esther,,always,piped_tap,,
POINT (36.849428080997512 -1.314621877131446),3885711328,drinking_water,,Mama Tony,,often,water_tank,,
POINT (36.849428080997512 -1.314623044633938),3885711329,drinking_water,,Mama Tony,,often,piped_tap,,
POINT (36.849234404222258 -1.314538715029861),3885711327,drinking_water,,BK,,often,piped_tap,,
POINT (36.849237278831168 -1.314491206657423),3885769527,drinking_water,,Mama Ishmael,,often,piped_tap,,
POINT (36.849421163969829 -1.314377420060372),3885711325,drinking_water,,Doro,,often,piped_tap,,
POINT (36.84941262997463 -1.314344280947856),3885769526,drinking_water,,Dorcas,,often,piped_tap,,
POINT (36.849476230696752 -1.314258783831722),3885711324,drinking_water,,Shosho,,often,piped_tap,,
POINT (36.849525548205847 -1.314743207579215),1453972972,drinking_water,,Kwa Maasai,,always,water_tank,,
POINT (36.849578818302192 -1.314527040004579),3885711326,drinking_water,,Mama toto,,often,piped_tap,,
POINT (36.850525912106242 -1.314317518195437),3885770208,drinking_water,,wambua,,often,piped_tap,,
POINT (36.850464108014691 -1.314270009818775),3885770206,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850590950132812 -1.314361883294944),3885770209,drinking_water,,wambua,,often,piped_tap,,
POINT (36.850646016859727 -1.314392956825699),3885770211,drinking_water,,wambua,,often,piped_tap,,
POINT (36.850824871432799 -1.314303418355951),3885770207,drinking_water,,karish,,often,piped_tap,,
POINT (36.85086772107185 -1.314246839381436),3885769525,drinking_water,,Tom,,often,piped_tap,,
POINT (36.848565788156293 -1.313918411880257),3885769498,drinking_water,,Kwa Kamau,,always,piped_tap,,
POINT (36.848787222873824 -1.313948317913738),3885769505,drinking_water,,Quria,,often,piped_tap,,
POINT (36.848413883041751 -1.31376582823842),3885788492,drinking_water,,Mama Kaka,,often,piped_tap,,
POINT (36.848426100129608 -1.313725863716204),3885788491,drinking_water,,Kenya Kids,,always,piped_tap,,
POINT (36.848312373414643 -1.31365168237665),3881518560,drinking_water,,Dorothy,,often,piped_tap,,
POINT (36.848342466976661 -1.31365033525788),3881537673,drinking_water,,Sarah,,often,piped_tap,,
POINT (36.848635766916921 -1.313762684961404),3885769487,drinking_water,,Mama Brian,,often,piped_tap,,
POINT (36.848756051333467 -1.313735562971097),3885769484,drinking_water,,Kuria,,often,piped_tap,,
POINT (36.848500121309023 -1.313722361207483),3885788490,drinking_water,,Baba Suzy,,often,piped_tap,,
POINT (36.848493114449809 -1.313605790529894),3885788489,drinking_water,,Sarah Kemunto,,often,piped_tap,,
POINT (36.848604954702679 -1.313567262931865),3885788488,drinking_water,,Mama Ivy,,often,piped_tap,,
POINT (36.848696762524717 -1.31371706254044),3885769482,drinking_water,,Sarah,,often,piped_tap,,
POINT (36.848996709998083 -1.314113295034917),3885769521,drinking_water,,Baba Maina,,often,piped_tap,,
POINT (36.848991769264025 -1.314109612910948),3885769520,drinking_water,,Nzilani,,always,piped_tap,,
POINT (36.848990691285678 -1.314078090337142),3885769517,drinking_water,,Mama Mutheu,,often,piped_tap,,
POINT (36.848879120527393 -1.314036150046025),3885769513,drinking_water,,Osongo,,often,piped_tap,,
POINT (36.849061568361599 -1.313983522613358),3885769510,drinking_water,,Mama Mutheu,,often,piped_tap,,
POINT (36.849137745497686 -1.314025462905352),3885769512,drinking_water,,Jackson,,never,piped_tap,,
POINT (36.849495724138414 -1.314226452988732),3885769524,drinking_water,,Mama Philip,,often,piped_tap,,
POINT (36.849439489601622 -1.313961699291976),3885769507,drinking_water,,John,,often,piped_tap,,
POINT (36.849512792128813 -1.313905030501803),3885769497,drinking_water,,Mama Alex,,often,piped_tap,,
POINT (36.848840762464761 -1.313735652779007),3885708798,drinking_water,,baba flora,,always,piped_tap,,
POINT (36.848929156688719 -1.313721552936239),3885708797,drinking_water,,osongo,,always,piped_tap,,
POINT (36.848928707531073 -1.313689401702124),3885769480,drinking_water,,Baba Rachel,,often,piped_tap,,
POINT (36.848986020046198 -1.313710596370461),3885769481,drinking_water,,Mama Pati,,often,piped_tap,,
POINT (36.848969850371084 -1.313685899193352),3885769479,drinking_water,,Mama Amina,,often,piped_tap,,
POINT (36.849511983645058 -1.313789896759342),3885708800,drinking_water,,hawa yusuf,,always,piped_tap,,
POINT (36.849486561322514 -1.313746339920914),3885769486,drinking_water,,Sarah,,often,piped_tap,,
POINT (36.849295220166994 -1.313685719577519),3885769478,drinking_water,,John,,often,piped_tap,,
POINT (36.849370049830164 -1.313590792607195),3885708795,drinking_water,,mama dida,,often,piped_tap,,
POINT (36.848698020166111 -1.313527118790636),3885788487,drinking_water,,B aba Waria,,often,piped_tap,,
POINT (36.848778958373217 -1.313524963400469),3885708790,drinking_water,,Abdi,,always,piped_tap,,
POINT (36.848819202897943 -1.31350978586144),3885788486,drinking_water,,Mama Sofia,,often,piped_tap,,
POINT (36.849077019384488 -1.313545978454371),3885708792,drinking_water,,halima,,always,piped_tap,,
POINT (36.849124899589121 -1.313531160147162),3885708791,drinking_water,,kim,,never,piped_tap,,
POINT (36.849274019926291 -1.313546607109833),3885708793,drinking_water,,kim,,always,piped_tap,,
POINT (36.849299981237998 -1.313547954228667),3885708794,drinking_water,,kim,,always,piped_tap,,
