WKT,osm_id,amenity,name,operator
POINT (36.887700085025209 -1.253852285317345),3723147386,toilets,,
POINT (36.890415961623681 -1.253017321437766),3723147357,toilets,,
POINT (36.889835290624028 -1.251395980146606),1793143581,toilets,Watato,
POINT (36.890291814451416 -1.250764076184607),1431696803,toilets,,public toilets
POINT (36.891943007775161 -1.250375737176247),1732933883,toilets,HDG Toilet,
POINT (36.887730987070981 -1.249651238692327),1736275981,toilets,,Public Toilets
