WKT,osm_id,amenity,area,barrier,leisure,name,operator:type
POINT (36.860343599846381 -1.261336592528699),1038202813,school,,,,Excellent care center,
POINT (36.861189812844017 -1.26173804213137),4464689391,school,,,,Billgates Care Primary,cbo
POINT (36.861247125359149 -1.261797585993337),4461494343,school,,,,Billgates Care Primary,cbo
POINT (36.86220508877814 -1.263236786767152),4457506593,school,,gate,,AIC Zion Education Centre,religious
POINT (36.862298154241564 -1.263239391248333),4456611009,school,,,,AIC Zion High School,religious
POINT (36.862215599066957 -1.262915178226552),1112885024,school,,,,Thayu kindergaten,
POINT (36.86281001429046 -1.262258938615205),6445132385,school,,,,Mumo Boys And Girls Academy,
POINT (36.861983025239901 -1.261641586460682),2374943971,school,,,,Muungano Adult Education Center,
POINT (36.86264400562596 -1.261405027566014),1103092371,school,,,,Mathare Family Hope Center,
POINT (36.862531985710028 -1.261229898529926),6445077891,school,,,,Missions of Hope International,NGOs
POINT (36.862262760619373 -1.26109383673219),1103092451,school,,,,Why Not Academy,community
POINT (36.862601515313017 -1.261212295815892),1103092195,school,,gate,,ST. Michael Children Education Center,private
POINT (36.862600976323854 -1.261204931415096),6445077889,school,,,,Jessi School,
POINT (36.86325297355706 -1.261087909287387),6445077901,school,,,,Mama Africa Italia Onlus,community
POINT (36.863884758696379 -1.261255314693328),4461496406,school,,,,Balozi High School,private
POINT (36.863860683846767 -1.261197117965448),2374989976,college,,,,MATHARE POLYTECHNIC,
POINT (36.863879997625375 -1.261209960761979),6445081200,school,,gate,playground,Balozi School And Balozi Training Institutes,cbo
POINT (36.863969020670027 -1.261334886143225),6445077893,school,,gate,,Undugu Basic Education Unit Mathare,ngo
POINT (36.86053017993089 -1.259362842653353),1103152621,school,,,,Joy care center,
POINT (36.861702481376675 -1.259339402287744),1038202638,school,,,,Mathare light school,
POINT (36.860971881556097 -1.258841406731071),1038202722,school,,,,St Lwanga zone nursery/primary school,
POINT (36.8628860117635 -1.260478909165619),6445081199,school,,,,Kingdom Living Now School,private
POINT (36.863673744436142 -1.25979958781764),4464546560,school,,,,St. Ngota's Upendo Pre_Primary School,religious
POINT (36.863690992089595 -1.259783960909885),1103092338,school,,gate,,St. Ngota's Upendo Primary School,religious
POINT (36.864398954365015 -1.259448700848942),1103092472,school,,,,Driving School,
POINT (36.863008991125895 -1.258998304529885),4464546559,school,,,,DayStar Education Center,cbo
POINT (36.863014470849123 -1.258970463478694),4461370056,school,,,,DayStar Education Center,
POINT (36.863218208755569 -1.259055333778974),1244198595,school,,,,Maranatha Academy,religious
POINT (36.863107985470208 -1.258876881620579),6445077899,school,,,,Daystar Junior School,cbo
POINT (36.864410991789818 -1.259159513191409),6445111392,school,,gate,playground,Pilot Education Day Care Center Pre-School,APBET
POINT (36.865723969409089 -1.261552944235023),6445129688,school,,,,Bishop Gitonga Academy,
POINT (36.864995705208244 -1.261196579106841),6445111398,school,,gate,playground,Mathare Special Training Centre,
POINT (36.866714811167469 -1.261098686459767),6445111396,school,,gate,,Ngei PAG Education Center,private
POINT (36.866801947750027 -1.261059888638988),6445129687,school,,gate,playground,Ngei PAG Education Center,private
POINT (36.865203575365001 -1.260484207943282),1124602279,school,,,,Alliant Junior Academy,community
POINT (36.865694953825411 -1.260424933480644),6445111402,school,,gate,,Wakibe Junior Academy,private
POINT (36.86594199052854 -1.259686696878426),6445077894,school,,gate,playground,Destiny Kids Rescue Centre,private
POINT (36.86594199052854 -1.259687954215888),6445081208,school,,,,Destiny Kids Rescue Centre,private
POINT (36.865810028013307 -1.259343892779252),6445081193,school,,gate,,Millenium Academy,private
POINT (36.866381985354707 -1.260567910667015),6445111397,school,,gate,playground,St Ruth Academy,religious
POINT (36.866801498592388 -1.260460049109428),2317088376,library,,,,SLUM CODE,
POINT (36.86632098974691 -1.259521895856557),6445077892,school,,gate,,Sancare Preparatory School,private
POINT (36.866489962851858 -1.259459927077248),6445111399,school,,,,Vision Shiners Academy,private
POINT (36.866866985776596 -1.259646911128599),6445111394,school,,,,AIPCA Ngei 2 Academy,
POINT (36.864759627951585 -1.258753482888914),1124602272,school,,,,Pilot Educational Centre,
POINT (36.865271488000474 -1.258872660557802),6445081210,school,,gate,playground,Alliant Junior Academy,Suplementary Private School
POINT (36.86533419040731 -1.259100508128153),6445081207,school,,gate,,Alliant Junior Academy Preschool,Suplementary School
POINT (36.865958968687409 -1.258677952803545),6445081206,school,,gate,playground,Eljoy Education Centre,cbo
POINT (36.86594082271867 -1.258605027201812),6445081195,school,,gate,playground,Eljoy Education Center,community
POINT (36.865878120311841 -1.258422802998399),1124602205,school,,,,Eastland Complex Primary,
POINT (36.866893216582895 -1.25798524931458),1123193326,school,,,,St Rosa Academy,
POINT (36.86842735942512 -1.260004893045406),1123193312,school,,,,Ananda Marga Primary School,
POINT (36.868490960147234 -1.259936907020342),6445081197,school,,gate,playground,Eden Annex Preparatory School,private
POINT (36.86848961267431 -1.259049226709839),6445111391,school,,gate,,Ananda Marga Academy,religious
POINT (36.868649782289459 -1.259053537582168),6445081205,school,,gate,playground,Ananda Marga Academy,religious
POINT (36.868318753107268 -1.258655949389451),1123193348,school,,,,Ananda Marga Academy,community
POINT (36.868332946488756 -1.258644902777399),6445081196,school,,gate,,Elshadai Education Centre,APBET
POINT (36.867704215621401 -1.257951211370988),1123193310,school,,,,Ushindi Educational Center,
POINT (36.868314620856964 -1.258553206914599),6445081191,school,,gate,,Elshadai Education Centre Pre-school,APBET
POINT (36.868486558402338 -1.258339639064967),1123193327,school,,,,Power of Faith Educational Centre,
POINT (36.869403109486733 -1.259201274765059),1123201114,kindergarten,,,,St ann daycare centre,
POINT (36.869498959727544 -1.259163913873404),6445134385,school,,,,St Ann Day Care,community
POINT (36.868815162133274 -1.258240758402002),1123201092,school,,,,Urban View Primary School,
POINT (36.863701951536058 -1.257570956319317),6445081209,school,,gate,playground,Heidemarie Mathare 4A Primary,public
POINT (36.8632553091768 -1.256597776156779),1038202804,school,,,,Mercy care center secondary school,
POINT (36.863112117720512 -1.256412228845791),1038202662,school,,,,Mercy care Center Primary School,
POINT (36.866991941432623 -1.257932890155796),6445081204,school,,,,Samergo Glorious School,community
POINT (36.865380992633611 -1.256471952449262),6445111390,school,,gate,playground,Star of Hope Primary School,private
POINT (36.86651394786994 -1.256138937211256),6445081203,school,,gate,,Mawewa School,private
POINT (36.8680444076195 -1.257654210087147),1123193254,kindergarten,,,,Joy Day Care,
POINT (36.868084292818111 -1.257687260125837),6445081198,school,,gate,,Furaha Community Centre,ngo
POINT (36.869146370978527 -1.257425105051921),2306258773,library,,,,Book Shop,
POINT (36.869773574709896 -1.257794762558611),1123201110,school,,,,Winners educational centre,
POINT (36.867566953045987 -1.25613992512061),6445077890,school,,,,St Christopher Primary School,
POINT (36.869377417669604 -1.256329334278102),1111451105,school,,,,Little Bees School,
POINT (36.869604062615785 -1.255421355688487),1111451084,kindergarten,,,,Madoya primary school,
POINT (36.866692353285366 -1.254400844855783),1038219165,college,,,,Bethany christian college,
POINT (36.868617981928402 -1.254956948317647),6445081194,school,,gate,,Change A Life Learning Centre,religious
POINT (36.868683019954979 -1.254025888078267),6445077900,school,,,,Motherway Education Centre,private
POINT (36.868823965623051 -1.2539898742628),6445111401,school,,,,Mission Of Hope Mathare North,community
POINT (36.868957006116631 -1.253948920895982),6445132387,school,,,,Mathare North Primary School,public
POINT (36.867578990470797 -1.253284955365989),6445111395,school,,gate,,Success Junior Academy,private
POINT (36.869883977658318 -1.25205689261253),6445077910,school,,gate,,Amson Education Center,private
POINT (36.874861991805268 -1.261646885235978),6445111411,school,,,,Braniac High School,
POINT (36.870321008044044 -1.260225914971994),6445077905,school,,gate,,Daima Primary School,government
POINT (36.871514958888163 -1.260116885872795),6445081224,school,,gate,playground,Salama Primary School,government
POINT (36.870718961714907 -1.259224894751578),6445081219,school,,gate,playground,Emmanuel Middle School,community
POINT (36.87072821436233 -1.259133198909185),6445132391,school,,gate,playground,Emmanuel Middle School,private
POINT (36.870424853290885 -1.258172053851952),1123201207,school,,,,Genesis Immaculate Secondary School,
POINT (36.870469679223568 -1.258271832616195),1123201169,school,,,,Genesis Immaculate Primary School,
