WKT,osm_id,amenity,denomination,name,religion
POINT (36.875414276041944 -1.255668063651035),1038172386,place_of_worship,shia,Madarasatu Umar Alfaruk Mosque,muslim
POINT (36.872163901849412 -1.254984430171711),1111451097,place_of_worship,catholic,ST Martin catholic church,christian
POINT (36.873299462200066 -1.254425452795713),1123209289,place_of_worship,pentecostal,Apostolic Church Of Christ,christian
POINT (36.873300630009936 -1.254353694605291),1123209306,place_of_worship,pentecostal,Messiah Gospel Center,christian
POINT (36.874971676101453 -1.253668803442143),1038172424,place_of_worship,,Masjidulaqsa Islamic Centre,muslim
POINT (36.875787885368609 -1.257015841322717),1111566299,place_of_worship,pentecostal,Judah Gospel Church,christian
POINT (36.876290043612428 -1.256715516965385),1111566343,place_of_worship,evangelical,Soldiers Of Faith Church,christian
POINT (36.878326075203887 -1.253369646230863),1123209347,place_of_worship,evangelical,Evangelical Victory Church,christian
POINT (36.871673511535811 -1.251063143883132),1038219150,place_of_worship,methodist,Mathare North Evangelical Methodist,christian
POINT (36.873606147038068 -1.249804275205394),1038219175,place_of_worship,protestant,Mathare North SDA,christian
POINT (36.874794977485067 -1.250012544952685),1111587030,place_of_worship,protestant,Soul Winning Miracle Land,christian
POINT (36.874908165210869 -1.248236009764731),1333806679,place_of_worship,,"God's Power Church,Ruaraka,Kenya",christian
POINT (36.875649544814848 -1.251386280655436),1038219174,place_of_worship,catholic,ST.Stephen catholic church,christian
POINT (36.877005461904702 -1.250283142922243),1111587070,place_of_worship,protestant,Deliverence Hope Ministries,christian
POINT (36.877065559197213 -1.249102588350071),1111587002,place_of_worship,protestant,Full Gospel Churches Of kenya,christian
